time	frame	PresV	UV
1001	0	0.51	0
1001	0	0.50	0
1002	0	0.50	0
1003	0	0.51	0
1017	0	0.51	0
1033	0	0.51	0
1048	0	0.51	0
1064	0	0.50	0
1080	0	0.51	0
1095	0	0.51	0
1111	0	0.50	0
1127	0	0.50	0
1142	0	0.51	0
1158	0	0.50	0
1173	0	0.51	0
1189	0	0.51	0
1205	0	0.51	0
1220	0	0.51	0
1235	0	0.51	0
1252	0	0.51	0
1267	0	0.51	0
1283	0	0.50	0
1298	0	0.51	0
1313	0	0.50	0
1330	0	0.50	0
1345	0	0.50	0
1360	0	0.51	0
1376	0	0.50	0
1392	0	0.50	0
1408	0	0.51	0
1423	0	0.50	0
1438	0	0.51	0
1455	0	0.51	0
1470	0	0.51	0
1485	0	0.50	0
1501	0	0.50	0
1517	0	0.51	0
1532	0	0.51	0
1548	0	0.51	0
1563	0	0.51	0
1579	0	0.49	0
1595	0	0.50	0
1610	0	0.51	0
1626	0	0.50	0
1641	0	0.51	0
1657	0	0.51	0
1673	0	0.51	0
1688	0	0.50	0
1703	0	0.51	0
1720	0	0.51	0
1735	0	0.50	0
1751	0	0.50	0
1766	0	0.51	0
1781	0	0.51	0
1798	0	0.50	0
1813	0	0.51	0
1828	0	0.51	0
1844	0	0.51	0
1860	0	0.49	0
1875	0	0.50	0
1891	0	0.51	0
1906	0	0.50	0
1923	0	0.50	0
1938	0	0.50	0
1953	0	0.50	0
1969	0	0.50	0
1985	0	0.51	0
2000	0	0.51	0
2016	0	0.51	0
2031	0	0.51	0
2046	0	0.51	0
2063	0	0.50	0
2078	0	0.50	0
2094	0	0.51	0
2109	0	0.50	0
2125	0	0.51	0
2141	0	0.50	0
2156	0	0.51	0
2171	0	0.51	0
2188	0	0.51	0
2203	0	0.51	0
2219	0	0.51	0
2234	0	0.50	0
2250	0	0.49	0
2266	0	0.51	0
2281	0	0.50	0
2296	0	0.51	0
2312	0	0.50	0
2328	0	0.51	0
2343	0	0.50	0
2359	0	0.50	0
2374	0	0.51	0
2391	0	0.50	0
2406	0	0.50	0
2421	0	0.50	0
2437	0	0.50	0
2453	0	0.50	0
2468	0	0.50	0
2484	0	0.51	0
2499	0	0.51	0
2515	0	0.50	0
2531	0	0.50	0
2546	0	0.51	0
2562	0	0.50	0
2577	0	0.51	0
2593	0	0.51	0
2609	0	0.51	0
2624	0	0.51	0
2639	0	0.50	0
2656	0	0.51	0
2671	0	0.50	0
2686	0	0.50	0
2702	0	0.50	0
2718	0	0.51	0
2734	0	0.50	0
2749	0	0.51	0
2764	0	0.50	0
2780	0	0.51	0
2796	0	0.51	0
2811	0	0.51	0
2827	0	0.51	0
2842	0	0.50	0
2859	0	0.51	0
2874	0	0.51	0
2889	0	0.49	0
2905	0	0.50	0
2921	0	0.51	0
2936	0	0.51	0
2952	0	0.50	0
2967	0	0.50	0
2983	0	0.50	0
2999	0	0.50	0
3014	0	0.50	0
3030	0	0.51	0
3045	0	0.50	0
3061	0	0.50	0
3077	0	0.51	0
3092	0	0.50	0
3107	0	0.50	0
3124	0	0.51	0
3139	0	0.51	0
3154	0	0.50	0
3170	0	0.51	0
3186	0	0.49	0
3202	0	0.50	0
3217	0	0.50	0
3232	0	0.51	0
3249	0	0.51	0
3264	0	0.51	0
3279	0	0.51	0
3295	0	0.51	0
3310	0	0.50	0
3326	0	0.51	0
3342	0	0.50	0
3357	0	0.50	0
3373	0	0.50	0
3389	0	0.51	0
3404	0	0.51	0
3420	0	0.49	0
3435	0	0.51	0
3451	0	0.50	0
3467	0	0.50	0
3482	0	0.51	0
3497	0	0.51	0
3514	0	0.51	0
3529	0	0.49	0
3545	0	0.51	0
3560	0	0.50	0
3575	0	0.51	0
3592	0	0.50	0
3607	0	0.50	0
3622	0	0.51	0
