"Frame","File_name","Avg_Speed","Avg_Y_displacement","Avg_Y_displacement_Up","Avg_Y_displacement_Down","Avg_Y_movement","Num_Tracks_Up","Num_Tracks_Down","Tortuosity","Straightness_X","Straightness_Y"
1,"011020_E001T_2.avi_lane_100.res",1.44232604319117,-0.0309387580167156,0.388764092497856,-0.541749108131759,-0.0309387580167156,219,180,0.535367724530207,0.0102830543033632,0.0689711069961757
2,"011020_E001T_2.avi_lane_101.res",1.48095813099495,-0.0350938813761754,0.448506761835205,-0.564269454314282,-0.0350938813761754,209,191,0.534893656844622,0.00921936619508849,0.0779617269386377
3,"011020_E001T_2.avi_lane_102.res",1.45733902589849,-0.0357533621394244,0.415754993156473,-0.476262764889084,-0.0357533621394244,197,202,0.511745303519262,-0.014003890344949,0.0704966903614869
4,"011020_E001T_2.avi_lane_103.res",1.45377800335681,-0.0273542069325822,0.423555652116218,-0.499215568229444,-0.0273542069325822,204,195,0.51637785270778,-0.00998685934861872,0.0924490465865139
5,"011020_E001T_2.avi_lane_104.res",1.46344248998354,-0.0658421575214735,0.422058344857116,-0.556525286331722,-0.0658421575214735,200,199,0.5433319775995,-0.0202046229632396,0.0520682633869892
6,"011020_E001T_2.avi_lane_105.res",1.37783402538036,0.0154662019451518,0.405730557571563,-0.464101909987057,0.0154662019451518,220,179,0.503328337542774,-0.0120285203599262,0.0879185447718024
7,"011020_E001T_2.avi_lane_106.res",1.38411629828381,0.0167077290360282,0.423222044272182,-0.455727826508691,0.0167077290360282,215,185,0.529891918265633,0.00973981482120932,0.0810796699886254
8,"011020_E001T_2.avi_lane_107.res",1.44461613392411,-0.0311661183275949,0.403973821402348,-0.493221930618153,-0.0311661183275949,206,194,0.515224424315392,0.0157292902062045,0.0626105870997453
9,"011020_E001T_2.avi_lane_108.res",1.49303268603751,-0.0438557708905876,0.396513953712146,-0.526406372254534,-0.0438557708905876,208,190,0.508174610769644,0.00618032866697836,0.0539221839077969
10,"011020_E001T_2.avi_lane_109.res",1.46394795363299,-0.0560885453884921,0.41547659905565,-0.525838598652498,-0.0560885453884921,197,198,0.525707274799806,0.0321857341524303,0.0654546760843333
11,"011020_E001T_2.avi_lane_110.res",1.51511506580089,-0.075031982840223,0.416024500858763,-0.532876916917055,-0.075031982840223,193,207,0.511810065065214,0.00899415834822012,0.0427979387792716
12,"011020_E001T_2.avi_lane_111.res",1.44227546257659,-0.0117606442726013,0.44034147075477,-0.535309733585905,-0.0117606442726013,213,184,0.532800460273057,-0.0202495207513186,0.0895696502611883
13,"011020_E001T_2.avi_lane_112.res",1.46664745159216,-0.0157198354040237,0.422661536848755,-0.515052628397831,-0.0157198354040237,213,187,0.522049679447367,-0.00808392567393902,0.0854323204426333
14,"011020_E001T_2.avi_lane_113.res",1.41411619125029,-0.0291264407759499,0.408575016457676,-0.524546771490934,-0.0291264407759499,206,182,0.542511584556694,0.0284465772618117,0.079799321623951
15,"011020_E001T_2.avi_lane_114.res",1.44186553816853,0.0248021252593694,0.444976948312941,-0.491475299022902,0.0248021252593694,220,179,0.518952314694557,0.0389763096209806,0.0968516565718176
16,"011020_E001T_2.avi_lane_115.res",1.48054288206037,0.0598527853533279,0.521377136325841,-0.484570203852735,0.0598527853533279,216,183,0.544566547769302,-0.0158766518607276,0.118679777054751
17,"011020_E001T_2.avi_lane_116.res",1.54483381863478,0.0720739424264173,0.525504218417286,-0.557409591031397,0.0720739424264173,232,167,0.539462662941176,-0.000409048326421854,0.141242529116501
18,"011020_E001T_2.avi_lane_117.res",1.53300928983942,0.0590295742237099,0.5042531908416,-0.559131201112379,0.0590295742237099,232,167,0.531011417451685,-0.0064337105707473,0.133392006404733
19,"011020_E001T_2.avi_lane_118.res",1.57834474342316,0.119328269735965,0.551357116348816,-0.508836372271677,0.119328269735965,237,163,0.553043224050548,0.00138680235421815,0.16456356545167
20,"011020_E001T_2.avi_lane_119.res",1.58412718680864,0.128378043755215,0.575811972600296,-0.572254644409944,0.128378043755215,243,155,0.553462151664299,0.0266717148630455,0.165273210308156
21,"011020_E001T_2.avi_lane_120.res",1.48836649585225,0.199591577375846,0.567185919126607,-0.45847941205209,0.199591577375846,256,143,0.548836201095713,-0.00214146528365219,0.188754139132855
22,"011020_E001T_2.avi_lane_121.res",1.6130955082335,0.12891573719429,0.588676827344333,-0.583263206371462,0.12891573719429,237,153,0.575382305079533,-0.0152236756398555,0.181134049523482
23,"011020_E001T_2.avi_lane_122.res",1.53840614583504,0.236189778999202,0.639103324572117,-0.48010096868598,0.236189778999202,256,144,0.557159977593902,0.0236930486796336,0.218199686216014
24,"011020_E001T_2.avi_lane_123.res",1.6332584275895,0.182795268188838,0.637948688583784,-0.551994894148101,0.182795268188838,247,153,0.554147660835007,0.012314510034723,0.184011988635007
25,"011020_E001T_2.avi_lane_124.res",1.58461559273196,0.250905273150477,0.642946664319533,-0.518214097310953,0.250905273150477,257,131,0.554894429844513,0.00726484325751885,0.218916775878506
