 	Area	Mean	X	Y	Median	R	Theta
1	0	254	256	256	254	512.000	270.000
2	0	174	260	256	174	124.178	345.964
3	0	174	252	256	174	124.178	194.036
4	0	157	257	262	157	72.408	278.130
5	0	157	255	250	157	100.411	101.310
6	0	151	293	256	151	13.833	358.452
7	0	151	219	256	151	13.833	181.548
8	0	147	301	256	147	11.375	358.727
9	0	147	211	256	147	11.375	181.273
10	0	142	326	256	142	7.314	359.182
11	0	142	186	256	142	7.314	180.818
12	0	139	225	301	139	9.230	236.023
13	0	139	287	211	139	9.513	54.834
14	0	138	257	387	138	3.879	270.434
15	0	138	255	295	138	12.796	268.568
16	0	138	257	217	138	13.469	88.493
17	0	138	255	125	138	3.938	90.441
18	0	137	255	387	137	3.879	269.566
19	0	137	257	125	137	3.938	89.559
20	0	136	255	306	136	10.037	268.877
21	0	136	257	206	136	10.447	88.831
22	0	132	374	256	132	4.339	359.514
23	0	132	138	256	132	4.339	180.486
24	0	129	493	256	129	2.160	359.758
25	0	129	457	256	129	2.547	359.715
26	0	129	454	256	129	2.586	359.711
27	0	129	58	256	129	2.586	180.289
28	0	129	55	256	129	2.547	180.285
29	0	129	19	256	129	2.160	180.242
30	0	128	157	304	128	4.635	206.333
31	0	128	355	208	128	4.672	25.396
32	0	121	319	385	121	3.544	295.856
33	0	121	193	127	121	3.589	116.206
34	0	119	313	420	119	2.933	289.058
35	0	119	376	383	119	2.918	313.152
36	0	119	136	129	119	2.943	133.603
37	0	119	199	92	119	2.965	109.274
38	0	118	160	501	118	1.939	248.682
39	0	118	82	461	118	1.899	229.814
40	0	118	430	51	118	1.910	49.538
41	0	118	352	11	118	1.953	68.523
42	0	117	415	485	117	1.831	304.656
43	0	117	97	27	117	1.842	124.891
