Experiment_ID,Pressure_Level,Larva_ID,Prior_Duration,Stimulation_Duration,Time_Frame,Ratiometric,Registered,Stage,Type_Experiment
200422_CaI_Platynereis_M1_L1_E007,750,200422_CaI_Platynereis_M1_L1,10,60,0.206,NO,YES,2dpf,Titration
200422_CaI_Platynereis_M1_L1_E008,250,200422_CaI_Platynereis_M1_L1,10,60,0.206,NO,YES,2dpf,Titration
150722_CaI_Platynereis_M1_L1_E007,100,150722_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES,2dpf,Titration
150722_CaI_Platynereis_M1_L1_E008,750,150722_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES,2dpf,Titration
150722_CaI_Platynereis_M1_L1_E009,250,150722_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES,2dpf,Titration
150722_CaI_Platynereis_M1_L1_E010,1000,150722_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES,2dpf,Titration
150722_CaI_Platynereis_M1_L1_E011,500,150722_CaI_Platynereis_M1_L1,30,60,0.206,NO,YES,2dpf,Titration
090922_CaI_Platynereis_M2_L1_E008,1000,150722_CaI_Platynereis_M2_L1,30,60,0.206,YES,YES,2dpf,Titration
090922_CaI_Platynereis_M2_L1_E009,250,150722_CaI_Platynereis_M2_L1,30,60,0.206,YES,YES,2dpf,Titration
090922_CaI_Platynereis_M2_L1_E010,750,150722_CaI_Platynereis_M2_L1,30,60,0.206,YES,YES,2dpf,Titration
090922_CaI_Platynereis_M2_L1_E011,500,150722_CaI_Platynereis_M2_L1,30,60,0.206,YES,YES,2dpf,Titration
090922_CaI_Platynereis_M2_L1_E012,750,150722_CaI_Platynereis_M2_L1,30,60,0.206,YES,YES,2dpf,Other
140922_CaI_Platynereis_M1_L1_E007,1000,140922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES,2dpf,Titration
140922_CaI_Platynereis_M1_L1_E008,100,140922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES,2dpf,Titration
140922_CaI_Platynereis_M1_L1_E009,250,140922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES,2dpf,Titration
140922_CaI_Platynereis_M1_L1_E010,500,140922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES,2dpf,Titration
140922_CaI_Platynereis_M1_L1_E011,750,140922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES,2dpf,Titration
140922_CaI_Platynereis_M1_L1_E012,750,140922_CaI_Platynereis_M1_L1,30,60,0.206,YES,YES,2dpf,Other
