X	Y
1	3654.838
2	3587.912
3	3535.987
4	3479.430
5	3471.683
6	3483.058
7	3444.179
8	3326.476
9	3389.748
10	3344.402
11	3317.971
12	3331.220
13	3274.073
14	3204.355
15	3198.638
16	3200.875
17	3217.638
18	3164.184
19	3202.302
20	3255.406
21	3186.175
22	3184.989
23	3213.340
24	3171.760
25	3210.955
26	3265.295
27	3250.814
28	3283.348
29	3239.594
30	3272.249
31	3260.840
32	3351.732
33	3255.955
34	3267.101
35	3275.094
36	3285.990
37	3396.212
38	3369.865
39	3326.625
40	3345.715
41	3368.301
42	3406.097
43	3448.830
44	3496.437
45	3500.390
46	3476.424
47	3467.060
48	3549.196
49	3534.304
50	3577.406
51	3563.891
52	3588.852
53	3577.126
54	3581.152
55	3658.277
56	3562.548
57	3558.843
58	3543.126
59	3526.524
60	3536.461
61	3476.273
62	3469.394
63	3516.595
64	3478.059
65	3459.643
66	3416.438
67	3437.677
68	3442.551
69	3483.113
70	3445.755
71	3376.220
72	3439.667
73	3396.198
74	3385.623
75	3397.105
76	3410.836
77	3368.637
78	3284.124
79	3245.524
80	3280.741
81	3266.598
82	3240.704
83	3225.656
84	3253.222
85	3196.058
86	3165.580
87	3233.424
88	3157.594
89	3134.370
90	3045.492
91	3027.000
92	3069.420
93	3014.144
94	3053.325
95	2953.994
96	2946.196
97	3018.094
98	2867.175
99	2905.548
100	2889.603
101	2816.934
102	2856.778
103	2823.401
104	2777.474
105	2771.269
106	2772.094
107	2810.098
108	2690.553
109	2734.204
110	2667.883
111	2630.252
112	2742.464
113	2648.086
114	2678.609
115	2670.307
116	2652.087
117	2612.068
118	2607.414
119	2620.922
120	2593.309
121	2586.659
122	2586.064
123	2594.591
124	2635.559
125	2621.764
126	2579.613
127	2565.072
128	2532.218
129	2520.057
130	2516.149
131	2566.417
132	2502.056
133	2502.659
134	2481.294
135	2434.671
136	2481.959
137	2472.214
138	2500.535
139	2507.275
140	2483.017
141	2470.388
142	106.107
143	92.200
144	95.498
145	22.482
146	21.135
147	30.698
148	37.914
149	1199.311
150	2470.185
151	2517.354
152	2609.471
153	2699.560
154	2731.686
155	3013.596
156	3108.450
157	3280.782
158	3468.318
159	3472.407
160	3772.142
161	3732.908
162	3889.377
163	4156.572
164	4362.231
165	4105.617
166	4230.908
167	4785.795
168	4892.890
169	5023.877
170	4928.918
171	5313.672
172	5828.626
173	5646.222
174	5727.082
175	5521.447
176	6049.995
177	6305.857
178	6239.991
179	6693.280
180	6709.545
181	6744.684
182	6708.255
183	6753.895
184	7027.989
185	6708.604
186	6981.127
187	7380.979
188	7153.066
189	7257.061
190	7289.139
191	7356.062
192	7358.124
193	7406.769
194	7132.953
195	7467.489
196	7865.042
197	7542.914
198	7467.924
199	7574.284
200	7558.934
201	7605.058
202	8148.796
203	7463.763
204	7624.275
205	7215.633
206	7655.289
207	7553.460
208	7589.365
209	8104.839
210	7667.994
211	8014.656
212	7538.363
213	7342.714
214	7497.386
215	7077.962
216	7391.245
217	6938.252
218	7590.564
219	7528.926
220	7398.316
221	7470.086
222	7367.144
223	7277.041
224	7273.077
225	7330.769
226	7693.322
227	7336.279
228	7203.747
229	7096.974
230	7207.394
231	7170.721
232	7122.854
233	7141.489
234	7166.584
235	7156.939
236	7048.431
237	7139.743
238	6981.227
239	6979.890
240	6922.584
241	6902.887
242	6889.398
243	6853.821
244	6933.150
245	6712.177
246	6967.937
247	6701.799
248	6669.916
249	6703.406
250	6689.292
251	6642.792
252	6731.877
253	6606.052
254	6481.520
255	6472.313
256	6422.959
257	6353.060
258	6226.658
259	6245.983
260	6180.003
261	6194.032
262	6009.369
263	6034.900
264	6022.078
265	5993.721
266	5846.750
267	5837.983
268	5837.959
269	5819.989
270	5778.199
271	5755.694
272	5698.547
273	5746.458
274	5703.380
275	5683.369
276	5507.741
277	5576.514
278	5551.456
279	5390.169
280	5464.708
281	5438.114
282	5376.010
