X	Y
1	2033.318
2	2005.064
3	2017.922
4	2004.390
5	1996.258
6	1987.217
7	1974.040
8	1979.702
9	2010.360
10	1987.222
11	1989.653
12	1989.318
13	1984.882
14	1992.432
15	1985.527
16	1969.873
17	1948.720
18	1982.722
19	1968.679
20	1950.539
21	1969.051
22	1983.207
23	1968.088
24	1968.068
25	1954.594
26	1964.527
27	1963.764
28	1947.506
29	1969.929
30	1968.655
31	1961.784
32	1980.010
33	1978.298
34	1951.588
35	1967.343
36	1967.675
37	1961.502
38	1951.313
39	1956.005
40	1965.385
41	1942.029
42	1984.521
43	1972.797
44	1973.455
45	1966.435
46	1955.011
47	1951.782
48	1963.378
49	1964.725
50	1977.356
51	1944.231
52	1968.051
53	1951.627
54	1966.690
55	1978.946
56	1974.046
57	1986.391
58	1956.438
59	1953.946
60	1956.159
61	1961.807
62	1951.083
63	1962.990
64	1964.479
65	1947.256
66	1966.763
67	1955.460
68	1942.141
69	1951.816
70	1957.608
71	1966.870
72	1935.042
73	1947.985
74	1954.976
75	1966.754
76	1936.826
77	1959.948
78	1936.656
79	1908.064
80	1934.525
81	1930.843
82	1922.891
83	1937.558
84	1932.288
85	1923.469
86	1939.650
87	1920.463
88	1927.819
89	1926.432
90	1911.698
91	1929.477
92	1909.537
93	1921.822
94	1907.875
95	1926.015
96	1914.344
97	1930.564
98	1902.001
99	1920.178
100	1928.902
101	1909.389
102	1893.506
103	1904.933
104	1913.200
105	1891.917
106	1889.792
107	1893.977
108	1890.532
109	1890.046
110	1872.058
111	1906.853
112	1887.138
113	1892.441
114	1893.797
115	1914.840
116	1882.555
117	1883.979
118	1898.219
119	1897.488
120	1873.144
121	1866.104
122	1890.459
123	1895.233
124	1889.713
125	1906.439
126	1879.994
127	1884.004
128	1877.923
129	1872.958
130	1866.642
131	1870.485
132	1907.397
133	1889.300
134	1880.744
135	1862.000
136	1857.944
137	1869.545
138	1863.754
139	1876.516
140	1881.831
141	1861.069
142	1422.831
143	1360.331
144	830.892
145	617.135
146	616.801
147	626.454
148	632.308
149	2618.779
150	2081.294
151	2079.211
152	2257.775
153	2081.545
154	2142.013
155	2080.298
156	1955.965
157	2059.352
158	1885.061
159	2077.778
160	1937.879
161	2086.365
162	2000.354
163	1916.760
164	2004.934
165	2111.078
166	2283.393
167	2075.204
168	2113.958
169	2078.111
170	2123.706
171	2092.038
172	2011.144
173	2095.818
174	2062.879
175	2137.899
176	2085.898
177	2005.954
178	2116.403
179	2019.440
180	2009.536
181	2051.475
182	2093.111
183	2121.440
184	2115.992
185	2147.162
186	2103.561
187	2005.065
188	2139.303
189	2121.205
190	2125.914
191	2127.253
192	2157.943
193	2109.379
194	2156.323
195	2141.260
196	2025.229
197	2148.937
198	2140.955
199	2130.938
200	2145.212
201	2135.247
202	2051.810
203	2131.469
204	2131.224
205	2169.193
206	2115.260
207	2126.528
208	2124.558
209	2040.107
210	2146.927
211	2012.051
212	2123.876
213	2105.844
214	2124.745
215	2173.859
216	2127.918
217	2152.369
218	2109.660
219	2110.182
220	2127.749
221	2109.270
222	2123.561
223	2091.735
224	2129.037
225	2101.729
226	2040.434
227	2082.027
228	2118.132
229	2127.142
230	2108.009
231	2114.622
232	2104.863
233	2095.463
234	2089.534
235	2088.745
236	2075.270
237	2066.714
238	2085.506
239	2094.455
240	2093.042
241	2078.917
242	2058.918
243	2079.607
244	2101.426
245	2085.619
246	1991.897
247	2064.506
248	2071.977
249	2092.240
250	2100.089
251	2065.151
252	2078.365
253	2073.471
254	2055.478
255	2090.083
256	2097.498
257	2056.551
258	2047.924
259	2049.260
260	2053.331
261	2035.890
262	2039.512
263	2051.649
264	2057.116
265	2048.972
266	2046.943
267	2062.069
268	2035.421
269	2028.905
270	2017.849
271	2030.435
272	2040.452
273	2031.732
274	2046.255
275	2050.094
276	2035.318
277	2048.406
278	2048.276
279	2061.948
280	2017.812
281	2026.589
282	2025.308
283	2016.244
284	2014.180
285	2020.663
286	2014.632
287	2030.408
288	2028.870
289	2028.131
290	2053.301
291	2019.431
292	2028.027
293	2054.955
294	2043.878
295	2044.060
296	2035.315
297	2042.854
298	2028.653
299	2020.536
300	2021.846
301	2015.301
302	2032.309
303	2013.731
304	2022.275
305	1998.276
306	1965.806
307	2004.344
308	1997.797
309	1998.198
310	1995.135
311	1996.846
312	1980.234
313	1966.404
314	1981.742
315	1982.903
316	2002.047
317	1991.604
318	1959.179
319	1963.276
320	1973.623
321	1989.413
322	1975.404
323	1981.995
324	1969.330
325	1952.582
326	1984.936
327	1955.268
328	1978.637
329	1976.545
330	1976.604
331	1991.959
332	1971.822
333	1986.955
334	1974.266
335	1963.435
336	1970.326
337	1984.686
338	1971.808
339	1965.970
340	1971.927
341	1946.432
342	1993.179
343	1987.922
344	1969.766
345	1957.879
346	1959.514
347	1945.899
348	1948.305
349	1946.713
350	1947.049
351	1940.851
352	1958.205
353	1903.175
354	1950.238
355	1935.358
356	1936.852
357	1938.444
358	1934.714
359	1918.226
360	1924.152
361	1922.383
362	1924.729
363	1946.566
364	1917.640
365	1937.896
366	1929.928
367	1956.013
368	1939.558
369	1932.831
370	1937.412
371	1930.275
372	1919.261
373	1928.386
374	1946.635
375	1934.777
376	1957.303
377	1937.785
378	1931.325
379	1930.694
380	1926.028
381	1903.745
382	1917.643
383	1913.433
384	1903.023
385	1918.007
386	1937.042
387	1894.465
388	1919.794
389	1921.947
390	1931.209
391	1893.130
