Trial_ID,Batch_ID,Stimulus_Level,Type_Stimulus,Prior_Duration,Stimulus_Duration,Post_Duration,Transducer_factor,Basal_pressure,Genotype,Category_stimulus,Type_Experiment,Bin_size,Frame_rate,Pxmm,Particles_Counted,Fraction_increase
031120_E001T_10-2,031120_B001,112.5,Pressure,10,60,60,0.625,100,WT,12.5,Step,10,10,742.667-80,YES,1.13636363636364
031120_E001T_11,031120_B001,103.75,Pressure,10,60,60,0.625,100,WT,3.125,Step,10,10,742.667-80,YES,0.340909090909093
031120_E001T_12,031120_B001,165,Pressure,10,60,60,0.625,100,WT,65,Step,10,10,742.667-80,YES,5.90909090909091
031120_E001T_13,031120_B001,122.5,Pressure,10,60,60,0.625,100,WT,22.5,Step,10,10,742.667-80,YES,2.04545454545455
031120_E001T_14,031120_B001,142.5,Pressure,10,60,60,0.625,100,WT,42.5,Step,10,10,742.667-80,YES,3.86363636363636
031120_E001T_15,031120_B001,132.5,Pressure,10,60,60,0.625,100,WT,32.5,Step,10,10,742.667-80,YES,2.95454545454545
031120_E001T_16,031120_B001,185,Pressure,10,60,60,0.625,100,WT,85,Step,10,10,742.667-80,YES,7.72727272727273
031120_E001T_17,031120_B001,100,Pressure,10,60,60,0.625,100,WT,0,Step,10,10,742.667-80,YES,0
081120_E001T_1,081120_B001,237.5,Pressure,10,60,60,0.625,100,WT,137.5,Step,10,10,742.667-80,YES,12.5
081120_E001T_2,081120_B001,103.75,Pressure,10,60,60,0.625,100,WT,3.125,Step,10,10,742.667-80,YES,0.340909090909093
081120_E001T_3,081120_B001,112.5,Pressure,10,60,60,0.625,100,WT,12.5,Step,10,10,742.667-80,YES,1.13636363636364
081120_E001T_4-2,081120_B001,142.5,Pressure,10,60,60,0.625,100,WT,42.5,Step,10,10,742.667-80,YES,3.86363636363636
081120_E001T_5,081120_B001,165,Pressure,10,60,60,0.625,100,WT,65,Step,10,10,742.667-80,YES,5.90909090909091
081120_E001T_6,081120_B001,122.5,Pressure,10,60,60,0.625,100,WT,22.5,Step,10,10,742.667-80,YES,2.04545454545455
081120_E001T_7-2,081120_B001,185,Pressure,10,60,60,0.625,100,WT,85,Step,10,10,742.667-80,YES,7.72727272727273
081120_E001T_8-2,081120_B001,132.5,Pressure,10,60,60,0.625,100,WT,32.5,Step,10,10,742.667-80,YES,2.95454545454545
081120_E001T_9,081120_B001,100,Pressure,10,60,60,0.625,100,WT,0,Step,10,10,742.667-80,YES,0
091120_E001T_1,091120_B001,142.5,Pressure,10,60,60,0.625,100,WT,42.5,Step,10,10,742.667-80,YES,3.86363636363636
091120_E001T_2,091120_B001,185,Pressure,10,60,60,0.625,100,WT,85,Step,10,10,742.667-80,YES,7.72727272727273
091120_E001T_3,091120_B001,165,Pressure,10,60,60,0.625,100,WT,65,Step,10,10,742.667-80,YES,5.90909090909091
091120_E001T_4,091120_B001,132.5,Pressure,10,60,60,0.625,100,WT,32.5,Step,10,10,742.667-80,YES,2.95454545454545
091120_E001T_5-2,091120_B001,122.5,Pressure,10,60,60,0.625,100,WT,22.5,Step,10,10,742.667-80,YES,2.04545454545455
091120_E001T_6,091120_B001,103.75,Pressure,10,60,60,0.625,100,WT,3.125,Step,10,10,742.667-80,YES,0.340909090909093
091120_E001T_7,091120_B001,112.5,Pressure,10,60,60,0.625,100,WT,12.5,Step,10,10,742.667-80,YES,1.13636363636364
091120_E001T_8-2,091120_B001,237.5,Pressure,10,60,60,0.625,100,WT,137.5,Step,10,10,742.667-80,YES,12.5
091120_E001T_9,091120_B001,100,Pressure,10,60,60,0.625,100,WT,0,Step,10,10,742.667-80,YES,0
111120_E001T_1,111120_B001,103.75,Pressure,10,60,60,0.625,100,WT,3.125,Step,10,10,742.667-80,YES,0.340909090909093
111120_E001T_2,111120_B001,185,Pressure,10,60,60,0.625,100,WT,85,Step,10,10,742.667-80,YES,7.72727272727273
111120_E001T_3-2,111120_B001,165,Pressure,10,60,60,0.625,100,WT,65,Step,10,10,742.667-80,YES,5.90909090909091
111120_E001T_4,111120_B001,132.5,Pressure,10,60,60,0.625,100,WT,32.5,Step,10,10,742.667-80,YES,2.95454545454545
111120_E001T_5-3,111120_B001,237.5,Pressure,10,60,60,0.625,100,WT,137.5,Step,10,10,742.667-80,YES,12.5
111120_E001T_6-2,111120_B001,112.5,Pressure,10,60,60,0.625,100,WT,12.5,Step,10,10,742.667-80,YES,1.13636363636364
111120_E001T_7,111120_B001,122.5,Pressure,10,60,60,0.625,100,WT,22.5,Step,10,10,742.667-80,YES,2.04545454545455
111120_E001T_8,111120_B001,142.5,Pressure,10,60,60,0.625,100,WT,42.5,Step,10,10,742.667-80,YES,3.86363636363636
111120_E001T_9,111120_B001,100,Pressure,10,60,60,0.625,100,WT,0,Step,10,10,742.667-80,YES,0
131120_E001T_1-3,131120_B001,237.5,Pressure,10,60,60,0.625,100,WT,137.5,Step,10,10,742.667-80,YES,12.5
131120_E001T_2,131120_B001,165,Pressure,10,60,60,0.625,100,WT,65,Step,10,10,742.667-80,YES,5.90909090909091
131120_E001T_3,131120_B001,103.75,Pressure,10,60,60,0.625,100,WT,3.125,Step,10,10,742.667-80,YES,0.340909090909093
131120_E001T_4,131120_B001,185,Pressure,10,60,60,0.625,100,WT,85,Step,10,10,742.667-80,YES,7.72727272727273
131120_E001T_5-2,131120_B001,142.5,Pressure,10,60,60,0.625,100,WT,42.5,Step,10,10,742.667-80,YES,3.86363636363636
