Trial_ID,Larva_ID,Pressure_Level,Type_Stimulus,Prior,Duration_Stimulus,Post,Transducer_factor,State,Plasmid,Cell_labelled,Genotype,Frame_rate,Bin_size,Theta_range
210521_M1_L1_E001,210521_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB316,Ser-h-l/r,WT,200,200,24-60
210521_M1_L1_E002,210521_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB316,Ser-h-l/r,WT,200,200,24-60
210521_M1_L1_E003,210521_M1_L1,556,Pressure,30,60,30,2,positive,pLB316,Ser-h-l/r,WT,200,200,24-60
210521_M1_L2_E001,210521_M1_L2,0,Pressure,30,60,30,0.125,negative,pLB316,unknown,WT,200,200,24-60
210521_M1_L2_E002,210521_M1_L2,556,Pressure,30,60,30,2,negative,pLB316,unknown,WT,200,200,24-60
210521_M1_L2_E003,210521_M1_L2,85,Pressure,30,60,30,0.25,negative,pLB316,unknown,WT,200,200,24-60
210521_M1_L3_E001,210521_M1_L3,85,Pressure,30,60,30,0.25,negative,pLB316,unknown,WT,200,200,24-60
210521_M1_L3_E002,210521_M1_L3,0,Pressure,30,60,30,0.125,negative,pLB316,unknown,WT,200,200,24-60
210521_M1_L3_E003,210521_M1_L3,556,Pressure,30,60,30,2,negative,pLB316,unknown,WT,200,200,24-60
031021_M1_L1_E001,031021_M1_L1,0,Pressure,30,60,30,0.125,negative,pLB316,none,WT,200,200,25-55
031021_M1_L1_E002,031021_M1_L1,237.5,Pressure,30,60,30,0.625,negative,pLB316,none,WT,200,200,25-55
031021_M1_L1_E003,031021_M1_L1,556,Pressure,30,60,30,2,negative,pLB316,none,WT,200,200,25-55
031021_M1_L1_E004,031021_M1_L1,988,Pressure,30,60,30,2,negative,pLB316,none,WT,200,200,25-55
031021_M1_L1_E005,031021_M1_L1,85,Pressure,30,60,30,0.25,negative,pLB316,none,WT,200,200,25-55
031021_M1_L3_E001,031021_M1_L3,0,Pressure,30,60,30,0.125,positive,pLB316,"Ser-h,trunk serotonergic",WT,200,200,25-55
031021_M1_L3_E002,031021_M1_L3,85,Pressure,30,60,30,0.25,positive,pLB316,"Ser-h,trunk serotonergic",WT,200,200,25-55
031021_M1_L3_E003,031021_M1_L3,237.5,Pressure,30,60,30,0.625,positive,pLB316,"Ser-h,trunk serotonergic",WT,200,200,25-55
031021_M1_L3_E004,031021_M1_L3,556,Pressure,30,60,30,2,positive,pLB316,"Ser-h,trunk serotonergic",WT,200,200,25-55
