Trial_ID,Larva_ID,Pressure_Level,Type_Stimulus,Prior,Duration_Stimulus,Post,Transducer_factor,State,Plasmid,Cell_labelled,Genotype,Frame_rate,Bin_size,Theta_range,Cell_border_start,
210521_M1_L1_E001,210521_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB316,Ser-h-l/r,WT,200,200,24-60,14-37;45-80;87-116;124-150,
210521_M1_L1_E002,210521_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB316,Ser-h-l/r,WT,200,200,24-60,14-37;45-80;87-116;124-150,
210521_M1_L1_E003,210521_M1_L1,556,Pressure,30,60,30,2,positive,pLB316,Ser-h-l/r,WT,200,200,24-60,14-37;45-80;87-116;124-150,
031021_M1_L3_E001,031021_M1_L3,0,Pressure,30,60,30,0.125,positive,pLB316,"Ser-h,trunk serotonergic",WT,200,200,25-55,12-27;342-371,
031021_M1_L3_E002,031021_M1_L3,85,Pressure,30,60,30,0.25,positive,pLB316,"Ser-h,trunk serotonergic",WT,200,200,25-55,12-27;342-371,
031021_M1_L3_E003,031021_M1_L3,237.5,Pressure,30,60,30,0.625,positive,pLB316,"Ser-h,trunk serotonergic",WT,200,200,25-55,12-27;342-371,
031021_M1_L3_E004,031021_M1_L3,556,Pressure,30,60,30,2,positive,pLB316,"Ser-h,trunk serotonergic",WT,200,200,25-55,12-27;342-371,
031021_M1_L3_E005,031021_M1_L3,988,Pressure,30,60,30,2,positive,pLB316,"Ser-h,trunk serotonergic",WT,200,200,25-55,12-27;342-371,
041121_M1_L2_E001,041121_M1_L2,237.5,Pressure,30,60,30,0.625,positive,pLB316,Ser-h,WT,200,200,25-60,22-84;98-114;126-140;206-240,
041121_M1_L2_E002,041121_M1_L2,85,Pressure,30,60,30,0.25,positive,pLB316,Ser-h,WT,200,200,25-60,22-84;98-114;126-140;206-240,
041121_M1_L2_E003,041121_M1_L2,988,Pressure,30,60,30,2,positive,pLB316,Ser-h,WT,200,200,25-60,22-84;98-114;126-140;206-240,
041121_M1_L2_E004,041121_M1_L2,0,Pressure,30,60,30,0.125,positive,pLB316,Ser-h,WT,200,200,25-60,22-84;98-114;126-140;206-240,
041121_M1_L2_E005,041121_M1_L2,556,Pressure,30,60,30,2,positive,pLB316,Ser-h,WT,200,200,25-60,22-84;98-114;126-140;206-240,
041121_M1_L4_E001,041121_M1_L4,0,Pressure,30,60,30,0.125,positive,pLB316,"Ser-h-r,ser-tr-r",WT,200,200,24-60,24-46;102-127;135-163;177-207;229-258;278-305;371-404,
041121_M1_L4_E002,041121_M1_L4,237.5,Pressure,30,60,30,0.625,positive,pLB316,"Ser-h-r,ser-tr-r",WT,200,200,24-60,24-46;102-127;135-163;177-207;229-258;278-305;371-404,
041121_M1_L4_E003,041121_M1_L4,85,Pressure,30,60,30,0.25,positive,pLB316,"Ser-h-r,ser-tr-r",WT,200,200,24-60,24-46;102-127;135-163;177-207;229-258;278-305;371-404,
041121_M1_L4_E004,041121_M1_L4,556,Pressure,30,60,30,2,positive,pLB316,"Ser-h-r,ser-tr-r",WT,200,200,24-60,24-46;102-127;135-163;177-207;229-258;278-305;371-404,
041121_M1_L4_E005,041121_M1_L4,988,Pressure,30,60,30,2,positive,pLB316,"Ser-h-r,ser-tr-r",WT,200,200,24-60,24-46;102-127;135-163;177-207;229-258;278-305;371-404,
101121_M1_L2_E001,101121_M1_L2,988,Pressure,30,60,30,2,positive,pLB316,"Ser-h, ser-tr-r",WT,200,200,19-60,1-17;29-59;73-100;119-139;160-177;199-221;234-254;412-440;473-505,
101121_M1_L2_E002,101121_M1_L2,237.5,Pressure,30,60,30,0.625,positive,pLB316,"Ser-h, ser-tr-r",WT,200,200,19-60,1-17;29-59;73-100;119-139;160-177;199-221;234-254;412-440;473-505,
101121_M1_L2_E003,101121_M1_L2,85,Pressure,30,60,30,0.25,positive,pLB316,"Ser-h, ser-tr-r",WT,200,200,19-60,1-17;29-59;73-100;119-139;160-177;199-221;234-254;412-440;473-505,
101121_M1_L2_E004,101121_M1_L2,0,Pressure,30,60,30,0.125,positive,pLB316,"Ser-h, ser-tr-r",WT,200,200,19-60,1-17;29-59;73-100;119-139;160-177;199-221;234-254;412-440;473-505,
101121_M1_L2_E005,101121_M1_L2,556,Pressure,30,60,30,2,positive,pLB316,"Ser-h, ser-tr-r",WT,200,200,19-60,1-17;29-59;73-100;119-139;160-177;199-221;234-254;412-440;473-505,
211121_M1_L2_E001,211121_M1_L2,556,Pressure,30,60,30,2,positive,pLB316,"Ser-h-r,tr-l",WT,200,200,30-60,15-48;69-106;120-139;157-187;197-227;246-271;288-324;334-360;376-404;419-451;469-500;515-531,
