Trial_ID,Batch_ID,Stimulus_Level,Type_Stimulus,Prior_Duration,Stimulus_Duration,Post_Duration,Transducer_factor,Basal_pressure,Genotype,Category_stimulus,Type_Experiment,Bin_size,Frame_rate,Pxmm,Particles_Counted,Fraction_increase
130220_E002,130220_B001,0.05,Pressure,10,30,60,0.25,0,WT,0.05-0.2,Linear,10,10,742.667-80,NO,NA
140220_E003,140220_B001,0.05,Pressure,10,90,60,0.25,0,WT,0.05-0.2,Linear,10,10,742.667-80,NO,NA
2022-12-23_Platynereis_Linear_E002,2022-12-23_Platynereis_Linear_B001,0.1,Pressure,10,30,10,0.25,0,WT,0.05-0.2,Linear,10,10,1040.479-40,NO,NA
070220_E007,070220_B001,0.2,Pressure,10,60,60,0.25,0,WT,0.05-0.2,Linear,10,10,742.667-80,NO,NA
080220_E005,080220_B001,0.2,Pressure,10,60,60,0.25,0,WT,0.05-0.2,Linear,10,10,742.667-80,NO,NA
2022-12-23_Platynereis_Linear_E001,2022-12-23_Platynereis_Linear_B001,0.2,Pressure,10,30,10,0.25,0,WT,0.05-0.2,Linear,10,10,1040.479-40,NO,NA
2022-12-23_Platynereis_Linear_E006,2022-12-23_Platynereis_Linear_B001,0.2,Pressure,10,30,10,0.25,0,WT,0.05-0.2,Linear,10,10,1040.479-40,NO,NA
130220_E003,130220_B001,0.3,Pressure,10,30,60,0.25,0,WT,0.3-0.7,Linear,10,10,742.667-80,NO,NA
140220_E002,140220_B001,0.45,Pressure,10,90,60,0.25,0,WT,0.3-0.7,Linear,10,10,742.667-80,NO,NA
2022-12-23_Platynereis_Linear_E007,2022-12-23_Platynereis_Linear_B001,0.5,Pressure,10,30,10,0.25,0,WT,0.3-0.7,Linear,10,10,1040.479-40,NO,NA
2022-12-23_Platynereis_Linear_E010,2022-12-23_Platynereis_Linear_B001,0.5,Pressure,10,30,10,0.25,0,WT,0.3-0.7,Linear,10,10,1040.479-40,NO,NA
100220_E002,100220_B001,0.6,Pressure,10,60,60,0.25,0,WT,0.3-0.7,Linear,10,10,742.667-80,NO,NA
2022-12-23_Platynereis_Linear_E003,2022-12-23_Platynereis_Linear_B001,0.6,Pressure,10,30,10,0.25,0,WT,0.3-0.7,Linear,10,10,1040.479-40,NO,NA
2022-12-23_Platynereis_Linear_E004,2022-12-23_Platynereis_Linear_B001,0.6,Pressure,10,30,10,0.25,0,WT,0.3-0.7,Linear,10,10,1040.479-40,NO,NA
