Trial_ID,Batch_ID,Pressure_Level,Type_Stimulus,Prior_Duration,Stimulus_Duration,Post_Duration,Transducer_factor,Basal_pressure,Genotype,Category_pressure ,Type_Experiment,Bin_size,Frame_rate,Pxmm,Particles_Counted
201020_E001T_8.txt,201020_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO
201020_E001T_9.txt,201020_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,NO
201020_E001T_10.txt,201020_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO
201020_E001T_11.txt,201020_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO
201020_E001T_12.txt,201020_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,NO
201020_E001T_13.txt,201020_B001,42.5,Pressure,10,60,60,0.125,0,WT,42.5,Step,10,10,742.667-80,NO
201020_E001T_14-2.txt,201020_B001,137.5,Pressure,10,60,60,0.625,0,WT,137.5,Step,10,10,742.667-80,NO
201020_E001T_15.txt,201020_B001,65,Pressure,10,60,60,0.25,0,WT,65,Step,10,10,742.667-80,NO
201020_E001T_16.txt,201020_B001,12.5,Pressure,10,60,60,0.125,0,WT,12.5,Step,10,10,742.667-80,NO
031120_E001T_1-3.txt,031120_B001,137.5,Pressure,10,60,60,0.625,0,WT,137.5,Step,10,10,742.667-80,NO
031120_E001T_2.txt,031120_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO
031120_E001T_3.txt,031120_B001,65,Pressure,10,60,60,0.25,0,WT,65,Step,10,10,742.667-80,NO
031120_E001T_4.txt,031120_B001,42.5,Pressure,10,60,60,0.125,0,WT,42.5,Step,10,10,742.667-80,NO
031120_E001T_5-4.txt,031120_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO
031120_E001T_6.txt,031120_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,NO
031120_E001T_7.txt,031120_B001,12.5,Pressure,10,60,60,0.125,0,WT,12.5,Step,10,10,742.667-80,NO
031120_E001T_8.txt,031120_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,NO
031120_E001T_9.txt,031120_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO
041120_E001T_1.txt,041120_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO
041120_E001T_2.txt,041120_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO
041120_E001T_3.txt,041120_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,NO
041120_E001T_4.txt,041120_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO
041120_E001T_5.txt,041120_B001,42.5,Pressure,10,60,60,0.125,0,WT,42.5,Step,10,10,742.667-80,NO
041120_E001T_6.txt,041120_B001,65,Pressure,10,60,60,0.25,0,WT,65,Step,10,10,742.667-80,NO
041120_E001T_7.txt,041120_B001,12.5,Pressure,10,60,60,0.125,0,WT,12.5,Step,10,10,742.667-80,NO
041120_E001T_8-2.txt,041120_B001,137.5,Pressure,10,60,60,0.625,0,WT,137.5,Step,10,10,742.667-80,NO
041120_E001T_9.txt,041120_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,NO
051120_E001T_1.txt,051120_B001,137.5,Pressure,10,60,60,0.625,0,WT,137.5,Step,10,10,742.667-80,NO
051120_E001T_2-2.txt,051120_B001,12.5,Pressure,10,60,60,0.125,0,WT,12.5,Step,10,10,742.667-80,NO
051120_E001T_3-2.txt,051120_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO
051120_E001T_4.txt,051120_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO
051120_E001T_5-2.txt,051120_B001,42.5,Pressure,10,60,60,0.125,0,WT,42.5,Step,10,10,742.667-80,NO
051120_E001T_6.txt,051120_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,NO
051120_E001T_7-2.txt,051120_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO
051120_E001T_8.txt,051120_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,NO
051120_E001T_9-3.txt,051120_B001,65,Pressure,10,60,60,0.25,0,WT,65,Step,10,10,742.667-80,NO
061120_E001T_1-2.txt,061120_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO
061120_E001T_2.txt,061120_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO
061120_E001T_3-3.txt,061120_B001,137.5,Pressure,10,60,60,0.625,0,WT,137.5,Step,10,10,742.667-80,NO
061120_E001T_4.txt,061120_B001,12.5,Pressure,10,60,60,0.125,0,WT,12.5,Step,10,10,742.667-80,NO
061120_E001T_5.txt,061120_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO
061120_E001T_6-2.txt,061120_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,NO
061120_E001T_7-2.txt,061120_B001,65,Pressure,10,60,60,0.25,0,WT,65,Step,10,10,742.667-80,NO
061120_E001T_8.txt,061120_B001,42.5,Pressure,10,60,60,0.125,0,WT,42.5,Step,10,10,742.667-80,NO
061120_E001T_9-2.txt,061120_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,NO
091120_E001T_10.txt,091120_B001,42.5,Pressure,10,60,60,0.125,0,WT,42.5,Step,10,10,742.667-80,NO
091120_E001T_11.txt,091120_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,NO
091120_E001T_12-2.txt,091120_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO
091120_E001T_13-2.txt,091120_B001,137.5,Pressure,10,60,60,0.625,0,WT,137.5,Step,10,10,742.667-80,NO
091120_E001T_14-2.txt,091120_B001,65,Pressure,10,60,60,0.25,0,WT,65,Step,10,10,742.667-80,NO
091120_E001T_15.txt,091120_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO
091120_E001T_16.txt,091120_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO
091120_E001T_17-2.txt,091120_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,NO
091120_E001T_18.txt,091120_B001,12.5,Pressure,10,60,60,0.125,0,WT,12.5,Step,10,10,742.667-80,NO
211220_E001T_1-2.txt,211220_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO
211220_E001T_2.txt,211220_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,NO
211220_E001T_3.txt,211220_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO
211220_E001T_4.txt,211220_B001,988,Pressure,10,60,60,2,0,WT,988,Step,10,10,742.667-80,NO
211220_E001T_5.txt,211220_B001,778,Pressure,10,60,60,2,0,WT,778,Step,10,10,742.667-80,NO
211220_E001T_6.txt,211220_B001,42.5,Pressure,10,60,60,0.125,0,WT,42.5,Step,10,10,742.667-80,NO
211220_E001T_7-2.txt,211220_B001,556,Pressure,10,60,60,2,0,WT,556,Step,10,10,742.667-80,NO
221220_E001T_1.txt,221220_B001,988,Pressure,10,60,60,2,0,WT,988,Step,10,10,742.667-80,NO
221220_E001T_2.txt,221220_B001,556,Pressure,10,60,60,2,0,WT,556,Step,10,10,742.667-80,NO
221220_E001T_3.txt,221220_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO
221220_E001T_4-2.txt,221220_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO
221220_E001T_5.txt,221220_B001,778,Pressure,10,60,60,2,0,WT,778,Step,10,10,742.667-80,NO
221220_E001T_6.txt,221220_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO
221220_E001T_7.txt,221220_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,NO
231220_E001T_1.txt,231220_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,NO
231220_E001T_2.txt,231220_B001,556,Pressure,10,60,60,2,0,WT,556,Step,10,10,742.667-80,NO
231220_E001T_3.txt,231220_B001,988,Pressure,10,60,60,2,0,WT,988,Step,10,10,742.667-80,NO
231220_E001T_4.txt,231220_B001,778,Pressure,10,60,60,2,0,WT,778,Step,10,10,742.667-80,NO
231220_E001T_5.txt,231220_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO
231220_E001T_6.txt,231220_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,NO
231220_E001T_7.txt,231220_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,NO
241220_E001T_1-2.txt,241220_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,NO
