Trial_ID,Larva_ID,Pressure_Level,Type_Stimulus,Prior,Duration_Stimulus,Post,Transducer_factor,State,Genotype,Frame_rate,Bin_size,Theta_range,Cell_border_start
190521_M1_L1_E001,190521_M1_L1,556,Pressure,30,60,30,2,negative,WT,200,200,24-60,177-214;223-250;260-290
190521_M1_L1_E002,190521_M1_L1,3.125,Pressure,30,60,30,0.125,negative,WT,200,200,24-60,177-214;223-250;260-290
190521_M1_L1_E003,190521_M1_L1,237.5,Pressure,30,60,30,0.625,negative,WT,200,200,24-60,177-214;223-250;260-290
190521_M1_L1_E004-2,190521_M1_L1,32.5,Pressure,30,60,30,0.125,negative,WT,200,200,24-60,177-214;223-250;260-290
190521_M1_L1_E005,190521_M1_L1,85,Pressure,30,60,30,0.25,negative,WT,200,200,24-60,177-214;223-250;260-290
190521_M1_L2_E001,190521_M1_L2,3.125,Pressure,30,60,30,0.125,negative,WT,200,200,30-60,18-40;54-74;254-278
190521_M1_L2_E002,190521_M1_L2,85,Pressure,30,60,30,0.25,negative,WT,200,200,30-60,18-40;54-74;254-278
190521_M1_L2_E003,190521_M1_L2,237.5,Pressure,30,60,30,0.625,negative,WT,200,200,30-60,18-40;54-74;254-278
190521_M1_L2_E004-2,190521_M1_L2,556,Pressure,30,60,30,2,negative,WT,200,200,30-60,18-40;54-74;254-278
190521_M1_L2_E005,190521_M1_L2,32.5,Pressure,30,60,30,0.125,negative,WT,200,200,30-60,18-40;54-74;254-278
190921_M1_L1_E001,190921_M1_L1,556,Pressure,30,60,30,2,negative,WT,200,200,30-60,6-31;50-80;91-117
190921_M1_L1_E002,190921_M1_L1,3.125,Pressure,30,60,30,0.125,negative,WT,200,200,30-60,6-31;50-80;91-117
190921_M1_L1_E003,190921_M1_L1,85,Pressure,30,60,30,0.25,negative,WT,200,200,30-60,6-31;50-80;91-117
190921_M1_L1_E004,190921_M1_L1,32.5,Pressure,30,60,30,0.125,negative,WT,200,200,30-60,6-31;50-80;91-117
190921_M1_L1_E005,190921_M1_L1,237.5,Pressure,30,60,30,0.625,negative,WT,200,200,30-60,6-31;50-80;91-117
220921_M1_L1_E001,220921_M1_L1,32.5,Pressure,30,60,30,0.125,negative,WT,200,200,20-60,27-47;57-86;98-126;153-182;251-278
220921_M1_L1_E002,220921_M1_L1,237.5,Pressure,30,60,30,0.625,negative,WT,200,200,20-60,27-47;57-86;98-126;153-182;251-278
220921_M1_L1_E003,220921_M1_L1,3.125,Pressure,30,60,30,0.125,negative,WT,200,200,20-60,27-47;57-86;98-126;153-182;251-278
220921_M1_L1_E004,220921_M1_L1,85,Pressure,30,60,30,0.25,negative,WT,200,200,20-60,27-47;57-86;98-126;153-182;251-278
220921_M1_L1_E005,220921_M1_L1,556,Pressure,30,60,30,2,negative,WT,200,200,20-60,27-47;57-86;98-126;153-182;251-278
220921_M1_L2_E001,220921_M1_L2,556,Pressure,30,60,30,2,negative,WT,200,200,30-60,2-28;36-69;82-104;210-228;253-262
220921_M1_L2_E002,220921_M1_L2,237.5,Pressure,30,60,30,0.625,negative,WT,200,200,30-60,2-28;36-69;82-104;210-228;253-262
220921_M1_L2_E003,220921_M1_L2,85,Pressure,30,60,30,0.25,negative,WT,200,200,30-60,2-28;36-69;82-104;210-228;253-262
220921_M1_L2_E004,220921_M1_L2,988,Pressure,30,60,30,2,negative,WT,200,200,30-60,2-28;36-69;82-104;210-228;253-262
220921_M1_L2_E005,220921_M1_L2,3.125,Pressure,30,60,30,0.125,negative,WT,200,200,30-60,2-28;36-69;82-104;210-228;253-262
281021_M1_L1_E001,281021_M1_L1,556,Pressure,30,60,30,2,negative,WT,200,200,25-60,119-143;164-194;215-246;259-285;300-326;336-359;380-409;423-446
281021_M1_L1_E002,281021_M1_L1,85,Pressure,30,60,30,0.25,negative,WT,200,200,25-60,119-143;164-194;215-246;259-285;300-326;336-359;380-409;423-446
281021_M1_L1_E003,281021_M1_L1,988,Pressure,30,60,30,2,negative,WT,200,200,25-60,119-143;164-194;215-246;259-285;300-326;336-359;380-409;423-446
281021_M1_L1_E004,281021_M1_L1,3.125,Pressure,30,60,30,0.125,negative,WT,200,200,25-60,119-143;164-194;215-246;259-285;300-326;336-359;380-409;423-446
281021_M1_L1_E005,281021_M1_L1,237.5,Pressure,30,60,30,0.625,negative,WT,200,200,25-60,119-143;164-194;215-246;259-285;300-326;336-359;380-409;423-446
