Trial_ID,Batch_ID,Pressure_Level,Type_Stimulus,Prior_Duration,Stimulus_Duration,Post_Duration,Transducer_factor,Basal_pressure,Genotype,Category_pressure ,Type_Experiment,Bin_size,Frame_rate,Pxmm,Particles_Counted
230216_E001,230216_B001,50,Pressure,30,20,60,NA,0,WT,0.05,Step,15,15,556-80,NO
230216_E002,230216_B001,80,Pressure,30,20,60,NA,0,WT,0.08,Step,15,15,556-80,NO
230216_E003,230216_B001,110,Pressure,30,20,60,NA,0,WT,0.11,Step,15,15,556-80,NO
230216_E004,230216_B001,70,Pressure,30,20,60,NA,0,WT,0.07,Step,15,15,556-80,NO
230216_E005,230216_B001,90,Pressure,30,20,60,NA,0,WT,0.09,Step,15,15,556-80,NO
230216_E006,230216_B001,120,Pressure,30,20,60,NA,0,WT,0.12,Step,15,15,556-80,NO
230216_E007,230216_B001,140,Pressure,30,20,60,NA,0,WT,0.14,Step,15,15,556-80,NO
230216_E008,230216_B001,150,Pressure,30,20,60,NA,0,WT,0.15,Step,15,15,556-80,NO
230216_E009,230216_B001,60,Pressure,30,20,60,NA,0,WT,0.06,Step,15,15,556-80,NO
230216_E010,230216_B001,200,Pressure,30,20,60,NA,0,WT,0.2,Step,15,15,556-80,NO
230216_E011,230216_B001,100,Pressure,30,20,60,NA,0,WT,0.1,Step,15,15,556-80,NO
230216_E012,230216_B001,130,Pressure,30,20,60,NA,0,WT,0.13,Step,15,15,556-80,NO
230216_E013,230216_B001,30,Pressure,30,20,60,NA,0,WT,0.03,Step,15,15,556-80,NO
110316_E001,110316_B001,130,Pressure,30,20,60,NA,0,WT,0.13,Step,15,15,556-80,NO
110316_E002,110316_B001,70,Pressure,30,20,60,NA,0,WT,0.07,Step,15,15,556-80,NO
110316_E003,110316_B001,80,Pressure,30,20,60,NA,0,WT,0.08,Step,15,15,556-80,NO
110316_E004,110316_B001,120,Pressure,30,20,60,NA,0,WT,0.12,Step,15,15,556-80,NO
110316_E005,110316_B001,30,Pressure,30,20,60,NA,0,WT,0.03,Step,15,15,556-80,NO
110316_E006,110316_B001,100,Pressure,30,20,60,NA,0,WT,0.1,Step,15,15,556-80,NO
110316_E007,110316_B001,90,Pressure,30,20,60,NA,0,WT,0.09,Step,15,15,556-80,NO
110316_E008,110316_B001,40,Pressure,30,20,60,NA,0,WT,0.04,Step,15,15,556-80,NO
110316_E009,110316_B001,60,Pressure,30,20,60,NA,0,WT,0.06,Step,15,15,556-80,NO
110316_E010,110316_B001,50,Pressure,30,20,60,NA,0,WT,0.05,Step,15,15,556-80,NO
110316_E011,110316_B001,110,Pressure,30,20,60,NA,0,WT,0.11,Step,15,15,556-80,NO
140316_E001,140316_B001,40,Pressure,30,20,60,NA,0,WT,0.04,Step,15,15,556-80,NO
140316_E002,140316_B001,30,Pressure,30,20,60,NA,0,WT,0.03,Step,15,15,556-80,NO
140316_E003,140316_B001,70,Pressure,30,20,60,NA,0,WT,0.07,Step,15,15,556-80,NO
140316_E004,140316_B001,90,Pressure,30,20,60,NA,0,WT,0.09,Step,15,15,556-80,NO
140316_E005,140316_B001,60,Pressure,30,20,60,NA,0,WT,0.06,Step,15,15,556-80,NO
140316_E006,140316_B001,110,Pressure,30,20,60,NA,0,WT,0.11,Step,15,15,556-80,NO
140316_E007,140316_B001,20,Pressure,30,20,60,NA,0,WT,0.02,Step,15,15,556-80,NO
140316_E008,140316_B001,80,Pressure,30,20,60,NA,0,WT,0.08,Step,15,15,556-80,NO
140316_E009,140316_B001,100,Pressure,30,20,60,NA,0,WT,0.1,Step,15,15,556-80,NO
140316_E010,140316_B001,50,Pressure,30,20,60,NA,0,WT,0.05,Step,15,15,556-80,NO
170716_E001,170716_B001,10,Pressure,30,20,60,NA,0,WT,0.01,Step,15,15,556-80,NO
170716_E002,170716_B001,40,Pressure,30,20,60,NA,0,WT,0.04,Step,15,15,556-80,NO
170716_E003,170716_B001,90,Pressure,30,20,60,NA,0,WT,0.09,Step,15,15,556-80,NO
170716_E004,170716_B001,70,Pressure,30,20,60,NA,0,WT,0.07,Step,15,15,556-80,NO
170716_E005,170716_B001,60,Pressure,30,20,60,NA,0,WT,0.06,Step,15,15,556-80,NO
170716_E006,170716_B001,100,Pressure,30,20,60,NA,0,WT,0.1,Step,15,15,556-80,NO
170716_E007,170716_B001,50,Pressure,30,20,60,NA,0,WT,0.05,Step,15,15,556-80,NO
170716_E008,170716_B001,30,Pressure,30,20,60,NA,0,WT,0.03,Step,15,15,556-80,NO
170716_E009,170716_B001,80,Pressure,30,20,60,NA,0,WT,0.08,Step,15,15,556-80,NO
170716_E010,170716_B001,20,Pressure,30,20,60,NA,0,WT,0.02,Step,15,15,556-80,NO
170716_E011,170716_B001,10,Pressure,30,20,60,NA,0,WT,0.01,Step,15,15,556-80,NO
180716_E001,180716_B001,10,Pressure,30,20,60,NA,0,WT,0.01,Step,15,15,556-80,NO
180716_E002,180716_B001,90,Pressure,30,20,60,NA,0,WT,0.09,Step,15,15,556-80,NO
180716_E003,180716_B001,50,Pressure,30,20,60,NA,0,WT,0.05,Step,15,15,556-80,NO
180716_E004,180716_B001,30,Pressure,30,20,60,NA,0,WT,0.03,Step,15,15,556-80,NO
180716_E005,180716_B001,70,Pressure,30,20,60,NA,0,WT,0.07,Step,15,15,556-80,NO
180716_E006,180716_B001,100,Pressure,30,20,60,NA,0,WT,0.1,Step,15,15,556-80,NO
180716_E007,180716_B001,80,Pressure,30,20,60,NA,0,WT,0.08,Step,15,15,556-80,NO
180716_E008,180716_B001,60,Pressure,30,20,60,NA,0,WT,0.06,Step,15,15,556-80,NO
180716_E009,180716_B001,20,Pressure,30,20,60,NA,0,WT,0.02,Step,15,15,556-80,NO
180716_E010,180716_B001,40,Pressure,30,20,60,NA,0,WT,0.04,Step,15,15,556-80,NO
180716_E011,180716_B001,10,Pressure,30,20,60,NA,0,WT,0.01,Step,15,15,556-80,NO
280716_E001,280716_B001,10,Pressure,30,20,60,NA,0,WT,0.01,Step,15,15,556-80,NO
280716_E002,280716_B001,70,Pressure,30,20,60,NA,0,WT,0.07,Step,15,15,556-80,NO
280716_E003,280716_B001,40,Pressure,30,20,60,NA,0,WT,0.04,Step,15,15,556-80,NO
280716_E004,280716_B001,20,Pressure,30,20,60,NA,0,WT,0.02,Step,15,15,556-80,NO
280716_E005,280716_B001,50,Pressure,30,20,60,NA,0,WT,0.05,Step,15,15,556-80,NO
280716_E006,280716_B001,100,Pressure,30,20,60,NA,0,WT,0.1,Step,15,15,556-80,NO
280716_E007,280716_B001,90,Pressure,30,20,60,NA,0,WT,0.09,Step,15,15,556-80,NO
280716_E008,280716_B001,60,Pressure,30,20,60,NA,0,WT,0.06,Step,15,15,556-80,NO
280716_E009,280716_B001,30,Pressure,30,20,60,NA,0,WT,0.03,Step,15,15,556-80,NO
280716_E010,280716_B001,80,Pressure,30,20,60,NA,0,WT,0.08,Step,15,15,556-80,NO
280716_E011,280716_B001,10,Pressure,30,20,60,NA,0,WT,0.01,Step,15,15,556-80,NO
280716_E012,280716_B001,40,Pressure,30,20,60,NA,0,WT,0.04,Step,15,15,556-80,NO
250816_E001,250816_B001,10,Pressure,30,20,60,NA,0,WT,0.01,Step,15,15,556-80,NO
250816_E002,250816_B001,50,Pressure,30,20,60,NA,0,WT,0.05,Step,15,15,556-80,NO
250816_E003,250816_B001,100,Pressure,30,20,60,NA,0,WT,0.1,Step,15,15,556-80,NO
250816_E004,250816_B001,20,Pressure,30,20,60,NA,0,WT,0.02,Step,15,15,556-80,NO
250816_E005,250816_B001,90,Pressure,30,20,60,NA,0,WT,0.09,Step,15,15,556-80,NO
250816_E006,250816_B001,70,Pressure,30,20,60,NA,0,WT,0.07,Step,15,15,556-80,NO
250816_E007,250816_B001,80,Pressure,30,20,60,NA,0,WT,0.08,Step,15,15,556-80,NO
250816_E008,250816_B001,40,Pressure,30,20,60,NA,0,WT,0.04,Step,15,15,556-80,NO
250816_E009,250816_B001,30,Pressure,30,20,60,NA,0,WT,0.03,Step,15,15,556-80,NO
250816_E010,250816_B001,60,Pressure,30,20,60,NA,0,WT,0.06,Step,15,15,556-80,NO
250816_E011,250816_B001,10,Pressure,30,20,60,NA,0,WT,0.01,Step,15,15,556-80,NO
250816_E012,250816_B001,30,Pressure,30,20,60,NA,0,WT,0.03,Step,15,15,556-80,NO
260816_E001,260816_B001,10,Pressure,30,20,60,NA,0,WT,0.01,Step,15,15,556-80,NO
260816_E002,260816_B001,50,Pressure,30,20,60,NA,0,WT,0.05,Step,15,15,556-80,NO
260816_E003,260816_B001,70,Pressure,30,20,60,NA,0,WT,0.07,Step,15,15,556-80,NO
260816_E004,260816_B001,80,Pressure,30,20,60,NA,0,WT,0.08,Step,15,15,556-80,NO
260816_E005,260816_B001,20,Pressure,30,20,60,NA,0,WT,0.02,Step,15,15,556-80,NO
260816_E006,260816_B001,30,Pressure,30,20,60,NA,0,WT,0.03,Step,15,15,556-80,NO
260816_E007,260816_B001,40,Pressure,30,20,60,NA,0,WT,0.04,Step,15,15,556-80,NO
