File_name,Body_side,Genotype,stage
230322_ImmID210321_AcN2Im13_L1_4,right,WT,2dpf
230322_ImmID210321_AcN2Im13_L1_5,left,WT,2dpf
240322_ImmID210321_AcN2Im09_L1_4,left,Cops8bD,2dpf
240322_ImmID210321_AcN2Im09_L1_5,right,Cops8bD,2dpf
240322_ImmID210321_AcN2Im09_L2_3,right,Cops8bD,2dpf
240322_ImmID210321_AcN2Im09_L2_4,left,Cops8bD,2dpf
240322_ImmID210321_AcN2Im13_L2_3,right,WT,2dpf
240322_ImmID210321_AcN2Im13_L2_4,left,WT,2dpf
240322_ImmID210321_AcN2Im09_L3_3,right,Cops8bD,2dpf
240322_ImmID210321_AcN2Im09_L3_4,left,Cops8bD,2dpf
240322_ImmID210321_AcN2Im08_L1_3,right,Cops8bD,2dpf
240322_ImmID210321_AcN2Im08_L1_5,left,Cops8bD,2dpf
240322_ImmID210321_AcN2Im08_L2_3,right,Cops8bD,2dpf
240322_ImmID210321_AcN2Im08_L2_4,left,Cops8bD,2dpf
260322_ImmID210321_AcN2Im01_3,right,Cops8bD,2dpf
260322_ImmID210321_AcN2Im01_4,left,Cops8bD,2dpf
260322_ImmID210321_AcN2Im02_3,right,Cops8bD,2dpf
260322_ImmID210321_AcN2Im02_4,left,Cops8bD,2dpf
260322_ImmID210321_AcN2Im03_3,right,WT,2dpf
260322_ImmID210321_AcN2Im03_4,left,WT,2dpf
260322_ImmID210321_AcN2Im04_3,right,WT,2dpf
260322_ImmID210321_AcN2Im04_4,left,WT,2dpf
260322_ImmID210321_AcN2Im05_3,right,Cops8bD,2dpf
260322_ImmID210321_AcN2Im05_4,left,Cops8bD,2dpf
270322_ImmID210321_AcN2Im06_3,right,Cops8bD,2dpf
270322_ImmID210321_AcN2Im06_4,left,Cops8bD,2dpf
270322_ImmID210321_AcN2Im07_3,right,Cops8bD,2dpf
270322_ImmID210321_AcN2Im07_4,left,Cops8bD,2dpf
270322_ImmID210321_AcN2Im08_L3_3,right,Cops8bD,2dpf
270322_ImmID210321_AcN2Im08_L3_4,left,Cops8bD,2dpf
110422_ImmID210321_AcN2Im13_L3_3,right,WT,2dpf
110422_ImmID210321_AcN2Im13_L3_4,left,WT,2dpf
260422_ImmID240422_AcN2Im01_3-2,right,Cops8bD,2dpf
260422_ImmID240422_AcN2Im01_4,left,Cops8bD,2dpf
260422_ImmID240422_AcN2Im03_3,right,Cops8bD,2dpf
260422_ImmID240422_AcN2Im03_4,left,Cops8bD,2dpf
270422_ImmID240422_AcN2Im08_L1_3,right,Cops8bD,2dpf
270422_ImmID240422_AcN2Im08_L1_4,left,Cops8bD,2dpf
270422_ImmID240422_AcN2Im09_L1_3,right,WT,2dpf
270422_ImmID240422_AcN2Im09_L1_4,left,WT,2dpf
270422_ImmID240422_AcN2Im04_L1_3,right,Cops8bD,2dpf
270422_ImmID240422_AcN2Im04_L1_4,left,Cops8bD,2dpf
270422_ImmID240422_AcN2Im05_L1_3,right,WT,2dpf
270422_ImmID240422_AcN2Im05_L1_4,left,WT,2dpf
231022_ImmID211022_AcN2S_1_L1_5,right,Cops8bD,2dpf
231022_ImmID211022_AcN2S_1_L1_4,left,Cops8bD,2dpf
231022_ImmID211022_AcN2S_3_L1_3,right,WT,2dpf
231022_ImmID211022_AcN2S_3_L1_4,left,WT,2dpf
241022_ImmID211022_AcN2S_1_L1_3,right,Cops8bD,2dpf
241022_ImmID211022_AcN2S_1_L1_5,left,Cops8bD,2dpf
241022_ImmID211022_AcN2S_3_L1_3,right,WT,2dpf
241022_ImmID211022_AcN2S_3_L1_4,left,WT,2dpf
251022_ImmID211022_AcN2S_1_L1_3,right,Cops8bD,2dpf
251022_ImmID211022_AcN2S_1_L1_4,left,Cops8bD,2dpf
251022_ImmID211022_AcN2S_3_L1_3,right,WT,2dpf
251022_ImmID211022_AcN2S_3_L1_4,left,WT,2dpf
271022_ImmID211022_AcN2S_4_L1_3,right,WT,3dpf
271022_ImmID211022_AcN2S_4_L1_4,left,WT,3dpf
281022_ImmID211022_AcN2S_1_L1_3,right,Cops8bD,2dpf
281022_ImmID211022_AcN2S_1_L1_4,left,Cops8bD,2dpf
