##Figure4-SourceData1. Ciliary band dynamics of individual 2-day-old wildtype larvae injected with pLB316 or with pLB253 plasmid construct and subjected to randomized step increases in pressure.,,,,,,,,,,,,,,
Time,RelTime,Trial_ID,Larva_ID,Genotype,State,Transducer_factor,Pressure_Level,Plasmid,Period,FileName,CBF,Beat,CBF_MODA,PressVal
1,-29,210521_M1_L1_E001,210521_M1_L1,WT,positive,0.125,0,pLB316,Before,210521_M1_L1_E001_Kymo-1-24000_-0.txt,16.77430177,1,NA,-0.335416667
2,-28,210521_M1_L1_E001,210521_M1_L1,WT,positive,0.125,0,pLB316,Before,210521_M1_L1_E001_Kymo-1-24000_-200.txt,17.15265866,1,8.8527945,-0.366071429
3,-27,210521_M1_L1_E001,210521_M1_L1,WT,positive,0.125,0,pLB316,Before,210521_M1_L1_E001_Kymo-1-24000_-400.txt,NA,0,8.6120015,-0.344298246
4,-26,210521_M1_L1_E001,210521_M1_L1,WT,positive,0.125,0,pLB316,Before,210521_M1_L1_E001_Kymo-1-24000_-600.txt,14.65684658,1,8.7560375,-0.352678571
5,-25,210521_M1_L1_E001,210521_M1_L1,WT,positive,0.125,0,pLB316,Before,210521_M1_L1_E001_Kymo-1-24000_-800.txt,15.61036528,1,9.184022,-0.354166667
6,-24,210521_M1_L1_E001,210521_M1_L1,WT,positive,0.125,0,pLB316,Before,210521_M1_L1_E001_Kymo-1-24000_-1000.txt,13.44086022,1,8.4794365,-0.341981132
7,-23,210521_M1_L1_E001,210521_M1_L1,WT,positive,0.125,0,pLB316,Before,210521_M1_L1_E001_Kymo-1-24000_-1200.txt,18.52023335,1,8.9053975,-0.324074074
8,-22,210521_M1_L1_E001,210521_M1_L1,WT,positive,0.125,0,pLB316,Before,210521_M1_L1_E001_Kymo-1-24000_-1400.txt,14.74056604,1,8.817251,-0.33254717
9,-21,210521_M1_L1_E001,210521_M1_L1,WT,positive,0.125,0,pLB316,Before,210521_M1_L1_E001_Kymo-1-24000_-1600.txt,18.34357516,1,8.579673,-0.347222222
10,-20,210521_M1_L1_E001,210521_M1_L1,WT,positive,0.125,0,pLB316,Before,210521_M1_L1_E001_Kymo-1-24000_-1800.txt,17.9937022,1,8.8647775,-0.333333333
11,-19,210521_M1_L1_E001,210521_M1_L1,WT,positive,0.125,0,pLB316,Before,210521_M1_L1_E001_Kymo-1-24000_-2000.txt,14.74056604,1,8.5263235,-0.327830189
12,-18,210521_M1_L1_E001,210521_M1_L1,WT,positive,0.125,0,pLB316,Before,210521_M1_L1_E001_Kymo-1-24000_-2200.txt,20.62493555,1,8.826617,-0.331018519
13,-17,210521_M1_L1_E001,210521_M1_L1,WT,positive,0.125,0,pLB316,Before,210521_M1_L1_E001_Kymo-1-24000_-2400.txt,16.42980366,1,8.670906,-0.339622642
