"Time","variable","value","SEDisp","Pressure_Level","Genotype","Basal_pressure","Category_pressure","Press","SEPress"
-9,"0_WT_100",-0.00527091671071308,0.0264667767775307,"0","WT","100","0",99.1520833333333,0.218044497242599
-8,"0_WT_100",-0.00778851014095673,0.0422802274038559,"0","WT","100","0",99.03125,0.228787565221538
-7,"0_WT_100",-0.0135819894020691,0.0192744220499624,"0","WT","100","0",98.9166666666667,0.247973557898149
-6,"0_WT_100",0.042759253437378,0.0143846984807428,"0","WT","100","0",98.83125,0.233468153014975
-5,"0_WT_100",0.00434317691414331,0.0134404849720062,"0","WT","100","0",98.8145833333333,0.220242921440041
-4,"0_WT_100",-0.0244918920543037,0.017975062069193,"0","WT","100","0",99.2510416666667,0.307509633148562
-3,"0_WT_100",-0.0206357850524898,0.0202324295928553,"0","WT","100","0",99.290625,0.354317523018623
-2,"0_WT_100",0.0223140188957678,0.0119905279181216,"0","WT","100","0",99.1635416666667,0.348789604730497
-1,"0_WT_100",0.00235264411324323,0.0211599335654599,"0","WT","100","0",92.8927083333333,6.39407349736903
0,"0_WT_100",-0.00818807459341368,0.0384787258131076,"0","WT","100","0",94.5947916666667,4.61908681441819
1,"0_WT_100",-0.00149913380469127,0.0142549204827017,"0","WT","100","0",2.79895833333333,0.223834752725706
2,"0_WT_100",-0.0335902629156803,0.0266513818829681,"0","WT","100","0",-0.557291666666668,0.521202993817082
3,"0_WT_100",-0.0530910035833254,0.0154965161276831,"0","WT","100","0",-0.767708333333334,0.505172356966468
4,"0_WT_100",-0.0576175655145846,0.0275427389060058,"0","WT","100","0",-0.691666666666667,0.419535695326128
5,"0_WT_100",-0.0607584530515891,0.0088576579033349,"0","WT","100","0",-0.877083333333335,0.545677259811146
6,"0_WT_100",-0.0536286481798774,0.0343987951129254,"0","WT","100","0",-0.581250000000001,0.568478548621719
7,"0_WT_100",-0.0636484426064938,0.0257766846715642,"0","WT","100","0",-0.588541666666666,0.557089624590505
8,"0_WT_100",-0.0990371610862651,0.0403111415269437,"0","WT","100","0",-0.722916666666668,0.353708343149959
9,"0_WT_100",-0.0558811414645055,0.0377947597300885,"0","WT","100","0",-0.8,0.454071688272104
10,"0_WT_100",-0.0737059423990418,0.0332799422863254,"0","WT","100","0",-0.713541666666666,0.523555386807887
11,"0_WT_100",-0.0677942005579856,0.0244719996924718,"0","WT","100","0",-0.738541666666667,0.351067939175122
12,"0_WT_100",-0.118592931535376,0.0296229387362883,"0","WT","100","0",-0.702083333333334,0.436501837529543
13,"0_WT_100",-0.0885518822586076,0.0278805306751908,"0","WT","100","0",-0.326041666666667,0.57986459371875
14,"0_WT_100",-0.0556180327735013,0.029734295877643,"0","WT","100","0",-0.763541666666667,0.476164166404882
15,"0_WT_100",-0.0864859199441052,0.0314513815291439,"0","WT","100","0",-0.561458333333334,0.487310215016803
16,"0_WT_100",-0.0625875484724018,0.0172788681795796,"0","WT","100","0",-0.238541666666665,0.643075006830248
17,"0_WT_100",-0.0713571432727984,0.0438246692657818,"0","WT","100","0",-0.372916666666668,0.533361307046327
18,"0_WT_100",-0.107045598966993,0.0450388246258047,"0","WT","100","0",-0.321875,0.573128275314767
19,"0_WT_100",-0.129610002471899,0.0295992580864655,"0","WT","100","0",-0.379166666666667,0.545676762690403
20,"0_WT_100",-0.0612582386620982,0.0467066319745363,"0","WT","100","0",-0.509375000000001,0.478825172695572
21,"0_WT_100",-0.108142617928933,0.0271473206231272,"0","WT","100","0",-0.445833333333334,0.49715608314386
22,"0_WT_100",-0.088355200378004,0.0258494217933831,"0","WT","100","0",-0.422916666666668,0.504693681162699
23,"0_WT_100",-0.0716985418456847,0.0434362580931263,"0","WT","100","0",-0.453125000000001,0.51113629117851
24,"0_WT_100",-0.0435525170578438,0.0475411173952071,"0","WT","100","0",-0.433333333333334,0.469430640103579
25,"0_WT_100",-0.0727054270909485,0.0438541635617286,"0","WT","100","0",-0.442708333333334,0.481389206958765
26,"0_WT_100",-0.0122649635967875,0.0350094988513047,"0","WT","100","0",-0.373958333333333,0.492531570653373
27,"0_WT_100",-0.03029290192107,0.0307049798752557,"0","WT","100","0",-0.390625,0.518073416712504
28,"0_WT_100",-0.0809000341609932,0.00953425788387687,"0","WT","100","0",-0.36875,0.492762836132771
29,"0_WT_100",-0.0698582407764,0.0228052609735531,"0","WT","100","0",-0.359375,0.494676521689793
30,"0_WT_100",-0.0702976020376084,0.0367963420602802,"0","WT","100","0",-0.365625,0.498729940768995
31,"0_WT_100",-0.0553641207510201,0.0362291466274299,"0","WT","100","0",-0.339583333333333,0.490309744787246
32,"0_WT_100",-0.0332626491867493,0.0255672276481453,"0","WT","100","0",-0.346875,0.486165485550217
33,"0_WT_100",-0.056667672685392,0.0173267853658872,"0","WT","100","0",-0.382291666666668,0.459806463098274
34,"0_WT_100",-0.0324019702014165,0.0113656776765669,"0","WT","100","0",-0.356250000000001,0.508613417545137
35,"0_WT_100",0.00650876040173196,0.0293695604142172,"0","WT","100","0",-0.339583333333334,0.4616928251088
36,"0_WT_100",-0.036704451118915,0.0197765691845362,"0","WT","100","0",-0.276041666666665,0.536895554030299
37,"0_WT_100",-0.043084606783118,0.0231661997751442,"0","WT","100","0",-0.332291666666667,0.50798581444132
38,"0_WT_100",-0.0216473020048288,0.0273017193389192,"0","WT","100","0",-0.414583333333334,0.501201897456394
39,"0_WT_100",-0.0309890505005825,0.0300987576497311,"0","WT","100","0",-0.364583333333333,0.498323469627856
40,"0_WT_100",-0.0200910582004449,0.0306918842792688,"0","WT","100","0",-0.359375,0.506698832243792
41,"0_WT_100",-0.0435158095758157,0.0244072783776952,"0","WT","100","0",-0.409374999999999,0.53220298511105
42,"0_WT_100",-0.00672584568740893,0.0272419490158565,"0","WT","100","0",-0.384375,0.515444518076658
43,"0_WT_100",-0.037788283062138,0.0275217282427633,"0","WT","100","0",-0.436458333333333,0.524501147751896
44,"0_WT_100",-0.034745387168764,0.0227283312764122,"0","WT","100","0",-0.437500000000001,0.543736031110481
45,"0_WT_100",-0.0192035908875098,0.0164913687176771,"0","WT","100","0",-0.407291666666667,0.500399688339509
46,"0_WT_100",0.0049548261794348,0.019890931365945,"0","WT","100","0",-0.389583333333333,0.506986240191049
47,"0_WT_100",-0.00179109966726961,0.0422176049874392,"0","WT","100","0",-0.378125000000001,0.507620423075758
48,"0_WT_100",-0.0207462145611408,0.0222315782465422,"0","WT","100","0",-0.417708333333332,0.493725276279736
49,"0_WT_100",-0.0372772792918922,0.0206093317277781,"0","WT","100","0",-0.519791666666667,0.448695422826307
50,"0_WT_100",-0.0538215005045378,0.0321541201916577,"0","WT","100","0",-0.845833333333333,0.460999583860382
51,"0_WT_100",0.00831440450996511,0.0208638116045267,"0","WT","100","0",-0.755208333333334,0.443877133587914
52,"0_WT_100",-0.0178425284178029,0.00930757500825445,"0","WT","100","0",-0.710416666666667,0.438099787275812
53,"0_WT_100",-0.0108837949929892,0.0235591723320823,"0","WT","100","0",-0.565625000000001,0.44793665168594
54,"0_WT_100",-0.0110721829885745,0.040204423655115,"0","WT","100","0",-0.670833333333334,0.426471233113808
55,"0_WT_100",-0.0248737126977636,0.02384978944418,"0","WT","100","0",-0.536458333333333,0.426310912273673
56,"0_WT_100",-0.0107267658957379,0.0295249673139583,"0","WT","100","0",-0.653125000000001,0.427964030971711
57,"0_WT_100",0.000806928177283027,0.0279223186151538,"0","WT","100","0",-0.631250000000001,0.42691307581937
58,"0_WT_100",0.010631532405324,0.0276912689035957,"0","WT","100","0",-0.851041666666667,0.467221466156575
59,"0_WT_100",0.0157441992542225,0.0111733104611073,"0","WT","100","0",-0.875,0.474833212676948
60,"0_WT_100",0.000896749304509267,0.0308211624212288,"0","WT","100","0",1.84895833333333,2.49343811141391
61,"0_WT_100",-0.0551773192101254,0.0203071311937504,"0","WT","100","0",94.7,3.10007577892371
62,"0_WT_100",-0.0295141544000176,0.0357001217688831,"0","WT","100","0",101.675,1.06494382961875
63,"0_WT_100",0.0314892467121368,0.0239292107645158,"0","WT","100","0",100.930208333333,1.05315230347066
64,"0_WT_100",0.101332170349928,0.0328151437638071,"0","WT","100","0",100.380208333333,0.847453612811969
65,"0_WT_100",0.260368723248994,0.0684995242869654,"0","WT","100","0",99.3447916666667,0.126664268069397
66,"0_WT_100",0.328766278873277,0.0781419720515093,"0","WT","100","0",99.1979166666667,0.119769019598376
