"Time","RelTime","Trial_ID","Larva_ID","Genotype","State","Transducer_factor","Pressure_Level","Period","FileName","CBF","Beat","PressVal"
1,-29,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-0.txt",NA,0,0
2,-28,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-200.txt",21.4523222138797,1,0
3,-27,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-400.txt",23.7614351906855,1,0
4,-26,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-600.txt",24.1312741312741,1,0
5,-25,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-800.txt",20.8029956313709,1,0
6,-24,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-1000.txt",NA,0,0
7,-23,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-1200.txt",NA,0,0
8,-22,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-1400.txt",22.1116639027087,1,0
9,-21,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-1600.txt",18.3049606443346,1,0
10,-20,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-1800.txt",22.1116639027087,1,0
11,-19,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-2000.txt",21.4523222138797,1,0
12,-18,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-2200.txt",24.1312741312741,1,0
13,-17,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-2400.txt",21.4523222138797,1,0
14,-16,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-2600.txt",22.1116639027087,1,0
15,-15,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-2800.txt",22.7764491515773,1,0
16,-14,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-3000.txt",19.53125,1,0
17,-13,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-3200.txt",22.1116639027087,1,0
18,-12,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-3400.txt",22.1116639027087,1,0
19,-11,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-3600.txt",21.4523222138797,1,0
20,-10,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-3800.txt",21.4523222138797,1,0
