"Time","RelTime","Trial_ID","Larva_ID","Genotype","State","Transducer_factor","Pressure_Level","Period","FileName","CBF","Beat","CBF_MODA","PressVal"
1,-29,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-0.txt",NA,0,NA,0
2,-28,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-200.txt",21.4523222138797,1,12.027495,0
3,-27,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-400.txt",23.7614351906855,1,11.913,0
4,-26,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-600.txt",24.1312741312741,1,12.152605,0
5,-25,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-800.txt",20.8029956313709,1,11.937305,0
6,-24,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-1000.txt",NA,0,12.29694,0
7,-23,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-1200.txt",NA,0,11.68878,0
8,-22,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-1400.txt",22.1116639027087,1,11.96103,0
9,-21,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-1600.txt",18.3049606443346,1,11.76038,0
10,-20,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-1800.txt",22.1116639027087,1,11.89703,0
11,-19,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-2000.txt",21.4523222138797,1,11.872095,0
12,-18,"190521_M1_L1_E001","190521_M1_L1","WT","negative",2,"556","Before","190521_M1_L1_E001_Kymo-2200.txt",24.1312741312741,1,12.03966,0
