"Trial_ID","Pressure_Level","Period","Genotype","countzero","Larva_ID"
"190521_M1_L1_E001","556","After","WT",1,"190521_M1_L1"
"190521_M1_L1_E001","556","Before","WT",1,"190521_M1_L1"
"190521_M1_L1_E001","556","Before","WT",2,"190521_M1_L1"
"190521_M1_L1_E001","556","During_1","WT",2,"190521_M1_L1"
"190521_M1_L1_E001","556","During_1","WT",1,"190521_M1_L1"
"190521_M1_L1_E001","556","During_1","WT",2,"190521_M1_L1"
"190521_M1_L1_E001","556","During_1","WT",2,"190521_M1_L1"
"190521_M1_L1_E001","556","During_1","WT",2,"190521_M1_L1"
"190521_M1_L1_E001","556","During_1","WT",2,"190521_M1_L1"
"190521_M1_L1_E001","556","During_1","WT",2,"190521_M1_L1"
"190521_M1_L1_E001","556","During_2","WT",2,"190521_M1_L1"
"190521_M1_L1_E001","556","During_2","WT",5,"190521_M1_L1"
"190521_M1_L1_E001","556","During_2","WT",4,"190521_M1_L1"
"190521_M1_L1_E001","556","During_2","WT",3,"190521_M1_L1"
"190521_M1_L1_E001","556","During_2","WT",1,"190521_M1_L1"
"190521_M1_L1_E001","556","During_2","WT",1,"190521_M1_L1"
"190521_M1_L1_E001","556","During_2","WT",1,"190521_M1_L1"
"190521_M1_L1_E002","3.125","During_2","WT",24,"190521_M1_L1"
"190521_M1_L1_E004-2","32.5","After","WT",2,"190521_M1_L1"
"190521_M1_L1_E004-2","32.5","After","WT",1,"190521_M1_L1"
"190521_M1_L1_E004-2","32.5","During_1","WT",1,"190521_M1_L1"
"190521_M1_L1_E004-2","32.5","During_2","WT",10,"190521_M1_L1"
"190521_M1_L1_E005","85","During_1","WT",1,"190521_M1_L1"
"190521_M1_L2_E001","3.125","After","WT",5,"190521_M1_L2"
"190521_M1_L2_E001","3.125","After","WT",14,"190521_M1_L2"
"190521_M1_L2_E001","3.125","After","WT",3,"190521_M1_L2"
"190521_M1_L2_E001","3.125","Before","WT",6,"190521_M1_L2"
"190521_M1_L2_E001","3.125","Before","WT",21,"190521_M1_L2"
"190521_M1_L2_E001","3.125","During_1","WT",30,"190521_M1_L2"
"190521_M1_L2_E001","3.125","During_2","WT",18,"190521_M1_L2"
"190521_M1_L2_E001","3.125","During_2","WT",11,"190521_M1_L2"
"190521_M1_L2_E002","85","After","WT",1,"190521_M1_L2"
"190521_M1_L2_E002","85","After","WT",1,"190521_M1_L2"
"190521_M1_L2_E002","85","After","WT",6,"190521_M1_L2"
"190521_M1_L2_E002","85","After","WT",6,"190521_M1_L2"
"190521_M1_L2_E002","85","After","WT",3,"190521_M1_L2"
"190521_M1_L2_E002","85","Before","WT",2,"190521_M1_L2"
"190521_M1_L2_E002","85","Before","WT",3,"190521_M1_L2"
"190521_M1_L2_E002","85","Before","WT",2,"190521_M1_L2"
"190521_M1_L2_E002","85","Before","WT",2,"190521_M1_L2"
"190521_M1_L2_E002","85","Before","WT",1,"190521_M1_L2"
"190521_M1_L2_E002","85","Before","WT",1,"190521_M1_L2"
"190521_M1_L2_E002","85","Before","WT",2,"190521_M1_L2"
"190521_M1_L2_E002","85","Before","WT",3,"190521_M1_L2"
"190521_M1_L2_E002","85","Before","WT",5,"190521_M1_L2"
"190521_M1_L2_E002","85","During_1","WT",6,"190521_M1_L2"
"190521_M1_L2_E002","85","During_1","WT",8,"190521_M1_L2"
"190521_M1_L2_E002","85","During_2","WT",6,"190521_M1_L2"
"190521_M1_L2_E002","85","During_2","WT",2,"190521_M1_L2"
"190521_M1_L2_E002","85","During_2","WT",6,"190521_M1_L2"
"190521_M1_L2_E002","85","During_2","WT",6,"190521_M1_L2"
"190521_M1_L2_E002","85","During_2","WT",2,"190521_M1_L2"
"190521_M1_L2_E003","237.5","After","WT",1,"190521_M1_L2"
"190521_M1_L2_E003","237.5","Before","WT",30,"190521_M1_L2"
"190521_M1_L2_E003","237.5","During_1","WT",5,"190521_M1_L2"
"190521_M1_L2_E003","237.5","During_2","WT",11,"190521_M1_L2"
"190521_M1_L2_E003","237.5","During_2","WT",1,"190521_M1_L2"
"190521_M1_L2_E003","237.5","During_2","WT",5,"190521_M1_L2"
"190521_M1_L2_E004-2","556","After","WT",4,"190521_M1_L2"
"190521_M1_L2_E004-2","556","After","WT",1,"190521_M1_L2"
"190521_M1_L2_E004-2","556","After","WT",3,"190521_M1_L2"
"190521_M1_L2_E004-2","556","Before","WT",28,"190521_M1_L2"
"190521_M1_L2_E004-2","556","During_1","WT",2,"190521_M1_L2"
"190521_M1_L2_E004-2","556","During_1","WT",1,"190521_M1_L2"
"190521_M1_L2_E004-2","556","During_1","WT",3,"190521_M1_L2"
"190521_M1_L2_E004-2","556","During_1","WT",2,"190521_M1_L2"
"190521_M1_L2_E004-2","556","During_1","WT",1,"190521_M1_L2"
"190521_M1_L2_E004-2","556","During_1","WT",1,"190521_M1_L2"
"190521_M1_L2_E004-2","556","During_2","WT",3,"190521_M1_L2"
"190521_M1_L2_E004-2","556","During_2","WT",4,"190521_M1_L2"
"190521_M1_L2_E004-2","556","During_2","WT",2,"190521_M1_L2"
"190521_M1_L2_E005","32.5","After","WT",1,"190521_M1_L2"
"190521_M1_L2_E005","32.5","After","WT",1,"190521_M1_L2"
"190521_M1_L2_E005","32.5","After","WT",12,"190521_M1_L2"
"190521_M1_L2_E005","32.5","Before","WT",4,"190521_M1_L2"
"190521_M1_L2_E005","32.5","Before","WT",4,"190521_M1_L2"
"190521_M1_L2_E005","32.5","Before","WT",1,"190521_M1_L2"
"190521_M1_L2_E005","32.5","Before","WT",1,"190521_M1_L2"
"190521_M1_L2_E005","32.5","During_1","WT",1,"190521_M1_L2"
"190521_M1_L2_E005","32.5","During_1","WT",1,"190521_M1_L2"
"190521_M1_L2_E005","32.5","During_2","WT",1,"190521_M1_L2"
"190521_M1_L2_E005","32.5","During_2","WT",5,"190521_M1_L2"
"190521_M1_L2_E005","32.5","During_2","WT",3,"190521_M1_L2"
"190921_M1_L1_E001","556","After","WT",1,"190921_M1_L1"
"190921_M1_L1_E001","556","After","WT",7,"190921_M1_L1"
"190921_M1_L1_E001","556","After","WT",12,"190921_M1_L1"
"190921_M1_L1_E001","556","After","WT",3,"190921_M1_L1"
"190921_M1_L1_E001","556","After","WT",2,"190921_M1_L1"
"190921_M1_L1_E001","556","Before","WT",4,"190921_M1_L1"
"190921_M1_L1_E001","556","Before","WT",1,"190921_M1_L1"
"190921_M1_L1_E001","556","Before","WT",2,"190921_M1_L1"
"190921_M1_L1_E001","556","Before","WT",10,"190921_M1_L1"
"190921_M1_L1_E001","556","Before","WT",2,"190921_M1_L1"
"190921_M1_L1_E001","556","During_1","WT",1,"190921_M1_L1"
"190921_M1_L1_E001","556","During_1","WT",1,"190921_M1_L1"
"190921_M1_L1_E001","556","During_1","WT",2,"190921_M1_L1"
"190921_M1_L1_E001","556","During_1","WT",8,"190921_M1_L1"
"190921_M1_L1_E001","556","During_2","WT",3,"190921_M1_L1"
"190921_M1_L1_E001","556","During_2","WT",1,"190921_M1_L1"
"190921_M1_L1_E001","556","During_2","WT",1,"190921_M1_L1"
"190921_M1_L1_E001","556","During_2","WT",6,"190921_M1_L1"
"190921_M1_L1_E002","3.125","After","WT",1,"190921_M1_L1"
"190921_M1_L1_E002","3.125","After","WT",3,"190921_M1_L1"
"190921_M1_L1_E002","3.125","After","WT",9,"190921_M1_L1"
"190921_M1_L1_E002","3.125","After","WT",1,"190921_M1_L1"
"190921_M1_L1_E002","3.125","After","WT",11,"190921_M1_L1"
"190921_M1_L1_E002","3.125","Before","WT",1,"190921_M1_L1"
