Reagent type (species) or resource,Designation,Source or reference,Identifiers,Additional information
"strain, strain background (Platynereis dumerilii)",wild type,"Marine Invertebrate Culture Unit, University of Exeter",NCBITaxon:6359,
"strain, strain background (P. dumerilii)",c-opsin1Δ8/Δ8 knockout,DOI:10.7554/eLife.36440 ,NCBITaxon:6359,Knockout generated by TALEN-induced gene editing
transfected construct (mRNA),GCaMP6s mRNA,DOI:10.7554/eLife.02730,,1 mg/ml
transfected construct (mRNA),3xHA-Palmi-tdTomato mRNA,This paper,,< 0.2 ng/µl
antibody,"Monoclonal Anti-Tubulin,
Acetylated antibody
produced in mouse",Sigma-Aldrich,"	Cat#:T6793,
RRID:AB_477585",(1:250)
antibody,"Polyclonal NIT-GC2 antibody, produced in rabbit",DOI:10.7554/eLife.91258.1,aNIT-GC2,5 mg/ml
antibody,"anti-5-HT, produced in rabit",ImmunoStar,"Cat# 20080, RRID:AB_572263",2 mg/ml
antibody,"Monoclonal Anti-HA antibody
produced in mouse",Cell SignalingTechnology,"HA-Tag (6E2), Cat #2367,RRID:AB_10691311",(1:250)
antibody,"Monoclonal Anti-HA antibody
produced in rabbit",Cell SignalingTechnology,"HA-Tag (C29F4) Cat #3724, RRID:AB_1549585",(1:250)
antibody,"
Goat anti-Rabbit IgG (H+L) Cross-Adsorbed Secondary Antibody, Alexa Fluor™ 488
produced in rabbit",ThermoFisher Scientific,"Cat#: A-11008, RRID:AB_143165",(1:250)
antibody,"F(ab')2-Goat anti-Mouse IgG (H+L) Cross-Adsorbed Secondary Antibody, Alexa Fluor™ 546",ThermoFisher Scientific,"Cat# A-11018, RRID:AB_2534085",(1:250)
"Commercial
assay or kit","mMESSAGE
mMACHINE T7
ULTRA Transcription Kit","Ambion,
ThermoFisher Scientific",Cat#:AM1345,
recombinant DNA reagent,pUC57-TPHp3xHA-Palmi-tdTomato-P2A-TeTxLC (plasmid),This paper,pLB316,injected at 250 ng/µl in water
recombinant DNA reagent,pUC57-TPHp3xHA-Palmi-tdTomato (plasmid),DOI:10.7554/eLife.26000 ,pLB253,injected at 250 ng/µl in water
recombinant DNA reagent,pUC57-T7-RPP2-3xHA-Palmi-tdTomato (plasmid),This paper,pLB260,injected at 250 ng/µl in water
recombinant DNA reagent,pUC57-T7-RPP2-GCaMP6s (plasmid),DOI:10.7554/eLife.02730,pLB112,injected at 250 ng/µl in water
recombinant DNA reagent,pGEMTEZ-TeTxLC,DOI:10.1016/S0896-6273(04)00224-7,"Addgene plasmid # 32640, RRID:Addgene_32640",Richard Axel & Joseph Gogos & C. Ron Yu
"chemical compound, drug",Ficoll PM70,Sigma-Aldrich,cat# F2878,-20%
"chemical compound, drug",Formaldehyde Aqueous Solution (Paraformaldehyde Aqueous Solution) EM Grade,Electron Microscopy Sciences,cat# 15710,-4%
"chemical compound, drug",low-melting agarose,Hampton Research,"LM AgaroseTM, Cat# HR8-092",(2.5-3%)
"software, algorithm",Fiji,NIH,RRID:SCR_002285,
"software, algorithm",CATMAID,"DOI:10.1093/
bioinformatics/btp266",RRID:SCR_006278,
other,Wormglu,GluStitch Inc,,
